,geo_accession,Prediction_Result,Actual_in_Top_3,Actual,Top_Predictions,Disease_Name
10,GSM2109463,Correct,Yes,CONTROL - BLOOD,"[(99.89, 'CONTROL - BLOOD'), (0.06, 'CONTROL - MEMORY CD3+CD8+ T CELLS'), (0.02, 'CONTROL - CD206+ CD45+ MACROPHAGES')]",JUVENILE IDIOPATHIC ARTHRITIS
11,GSM2114359,Correct,Yes,CONTROL - BLOOD,"[(99.96, 'CONTROL - BLOOD'), (0.02, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.01, 'CONTROL - MEMORY CD3+CD8+ T CELLS')]",SYSTEMIC LUPUS ERYTHEMATOSUS
12,GSM2147658,Correct,Yes,CONTROL - BLOOD,"[(99.93, 'CONTROL - BLOOD'), (0.03, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.03, 'CONTROL - MEMORY CD3+CD8+ T CELLS')]",JUVENILE IDIOPATHIC ARTHRITIS
13,GSM2147660,Correct,Yes,CONTROL - BLOOD,"[(99.87, 'CONTROL - BLOOD'), (0.06, 'CONTROL - MEMORY CD3+CD8+ T CELLS'), (0.03, 'CONTROL - CD206+ CD45+ MACROPHAGES')]",JUVENILE IDIOPATHIC ARTHRITIS
14,GSM2147661,Correct,Yes,CONTROL - BLOOD,"[(99.91, 'CONTROL - BLOOD'), (0.04, 'CONTROL - MEMORY CD3+CD8+ T CELLS'), (0.03, 'CONTROL - CD206+ CD45+ MACROPHAGES')]",JUVENILE IDIOPATHIC ARTHRITIS
15,GSM2147665,Correct,Yes,CONTROL - BLOOD,"[(99.95, 'CONTROL - BLOOD'), (0.02, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.02, 'CONTROL - MEMORY CD3+CD8+ T CELLS')]",JUVENILE IDIOPATHIC ARTHRITIS
16,GSM2147666,Correct,Yes,CONTROL - BLOOD,"[(99.93, 'CONTROL - BLOOD'), (0.04, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.02, 'CONTROL - MEMORY CD3+CD8+ T CELLS')]",JUVENILE IDIOPATHIC ARTHRITIS
17,GSM2204668,Correct,Yes,"LUNG DISEASES, INTERSTITIAL","[(99.99, 'LUNG DISEASES, INTERSTITIAL'), (0.01, 'CONTROL - PRIMARY HUMAN ALVEOLAR EPITHELIAL CELLS'), (0.0, 'CONTROL - LUNG')]",IDIOPATHIC PULMONARY FIBROSIS
18,GSM2204672,Correct,Yes,"LUNG DISEASES, INTERSTITIAL","[(99.75, 'LUNG DISEASES, INTERSTITIAL'), (0.2, 'CONTROL - LUNG'), (0.03, 'CONTROL - PRIMARY HUMAN ALVEOLAR EPITHELIAL CELLS')]",IDIOPATHIC PULMONARY FIBROSIS
19,GSM2204674,Correct,Yes,"LUNG DISEASES, INTERSTITIAL","[(99.95, 'LUNG DISEASES, INTERSTITIAL'), (0.03, 'CONTROL - PRIMARY HUMAN ALVEOLAR EPITHELIAL CELLS'), (0.01, 'CONTROL - LUNG')]",IDIOPATHIC PULMONARY FIBROSIS
20,GSM2204677,Correct,Yes,"LUNG DISEASES, INTERSTITIAL","[(99.97, 'LUNG DISEASES, INTERSTITIAL'), (0.02, 'CONTROL - PRIMARY HUMAN ALVEOLAR EPITHELIAL CELLS'), (0.0, 'CONTROL - LUNG')]",IDIOPATHIC PULMONARY FIBROSIS
21,GSM2204678,Correct,Yes,"LUNG DISEASES, INTERSTITIAL","[(99.98, 'LUNG DISEASES, INTERSTITIAL'), (0.01, 'CONTROL - LUNG'), (0.01, 'CONTROL - PRIMARY HUMAN ALVEOLAR EPITHELIAL CELLS')]",IDIOPATHIC PULMONARY FIBROSIS
22,GSM2204680,Correct,Yes,"LUNG DISEASES, INTERSTITIAL","[(99.98, 'LUNG DISEASES, INTERSTITIAL'), (0.01, 'CONTROL - LUNG'), (0.01, 'CONTROL - PRIMARY HUMAN ALVEOLAR EPITHELIAL CELLS')]",IDIOPATHIC PULMONARY FIBROSIS
23,GSM2204682,Correct,Yes,"LUNG DISEASES, INTERSTITIAL","[(99.76, 'LUNG DISEASES, INTERSTITIAL'), (0.21, 'CONTROL - LUNG'), (0.02, 'CONTROL - PRIMARY HUMAN ALVEOLAR EPITHELIAL CELLS')]",IDIOPATHIC PULMONARY FIBROSIS
24,GSM2204683,Correct,Yes,"LUNG DISEASES, INTERSTITIAL","[(99.98, 'LUNG DISEASES, INTERSTITIAL'), (0.01, 'CONTROL - LUNG'), (0.01, 'CONTROL - PRIMARY HUMAN ALVEOLAR EPITHELIAL CELLS')]",IDIOPATHIC PULMONARY FIBROSIS
25,GSM2204685,Correct,Yes,"LUNG DISEASES, INTERSTITIAL","[(99.97, 'LUNG DISEASES, INTERSTITIAL'), (0.02, 'CONTROL - PRIMARY HUMAN ALVEOLAR EPITHELIAL CELLS'), (0.0, 'CONTROL - LUNG')]",IDIOPATHIC PULMONARY FIBROSIS
26,GSM2204689,Correct,Yes,"LUNG DISEASES, INTERSTITIAL","[(99.98, 'LUNG DISEASES, INTERSTITIAL'), (0.01, 'CONTROL - LUNG'), (0.01, 'CONTROL - PRIMARY HUMAN ALVEOLAR EPITHELIAL CELLS')]",IDIOPATHIC PULMONARY FIBROSIS
27,GSM2204690,Correct,Yes,"LUNG DISEASES, INTERSTITIAL","[(99.98, 'LUNG DISEASES, INTERSTITIAL'), (0.01, 'CONTROL - LUNG'), (0.01, 'CONTROL - PRIMARY HUMAN ALVEOLAR EPITHELIAL CELLS')]",IDIOPATHIC PULMONARY FIBROSIS
28,GSM1376104,Correct,Yes,"LUNG DISEASES, OBSTRUCTIVE","[(35.92, 'LUNG DISEASES, OBSTRUCTIVE'), (29.13, 'HYPERSENSITIVITY, IMMEDIATE'), (17.55, 'ASTHMA')]",CHRONIC OBSTRUCTIVE PULMONARY DISEASE
29,GSM1275176,Correct,Yes,"HYPERSENSITIVITY, IMMEDIATE","[(31.79, 'HYPERSENSITIVITY, IMMEDIATE'), (27.57, 'LUNG DISEASES, OBSTRUCTIVE'), (23.02, 'ASTHMA')]",ALLERGIC ASTHMA
30,GSM1376105,Incorrect,Yes,"LUNG DISEASES, OBSTRUCTIVE","[(34.07, 'HYPERSENSITIVITY, IMMEDIATE'), (33.33, 'LUNG DISEASES, OBSTRUCTIVE'), (18.94, 'ASTHMA')]",CHRONIC OBSTRUCTIVE PULMONARY DISEASE
31,GSM2204721,Correct,Yes,CONTROL - LUNG EPITHELIAL CELLS,"[(99.89, 'CONTROL - LUNG EPITHELIAL CELLS'), (0.05, 'CONTROL - PRIMARY BRONCHIAL EPITHELIAL CELLS'), (0.01, 'CONTROL - FIBROBLASTS')]",IDIOPATHIC PULMONARY FIBROSIS
32,GSM2204725,Correct,Yes,CONTROL - LUNG EPITHELIAL CELLS,"[(99.8, 'CONTROL - LUNG EPITHELIAL CELLS'), (0.15, 'CONTROL - PRIMARY BRONCHIAL EPITHELIAL CELLS'), (0.01, 'CONTROL - FIBROBLASTS')]",IDIOPATHIC PULMONARY FIBROSIS
33,GSM2204728,Correct,Yes,CONTROL - LUNG EPITHELIAL CELLS,"[(99.81, 'CONTROL - LUNG EPITHELIAL CELLS'), (0.14, 'CONTROL - PRIMARY BRONCHIAL EPITHELIAL CELLS'), (0.01, 'CONTROL - FIBROBLASTS')]",IDIOPATHIC PULMONARY FIBROSIS
34,GSM2204740,Correct,Yes,CONTROL - LUNG EPITHELIAL CELLS,"[(99.83, 'CONTROL - LUNG EPITHELIAL CELLS'), (0.07, 'CONTROL - PRIMARY BRONCHIAL EPITHELIAL CELLS'), (0.02, 'RESPIRATORY DISTRESS SYNDROME')]",IDIOPATHIC PULMONARY FIBROSIS
35,GSM1376110,Correct,Yes,"LUNG DISEASES, OBSTRUCTIVE","[(37.4, 'LUNG DISEASES, OBSTRUCTIVE'), (30.03, 'HYPERSENSITIVITY, IMMEDIATE'), (13.05, 'ASTHMA')]",CHRONIC OBSTRUCTIVE PULMONARY DISEASE
36,GSM2204758,Correct,Yes,CONTROL - LUNG EPITHELIAL CELLS,"[(99.84, 'CONTROL - LUNG EPITHELIAL CELLS'), (0.07, 'CONTROL - PRIMARY BRONCHIAL EPITHELIAL CELLS'), (0.01, 'RESPIRATORY DISTRESS SYNDROME')]",IDIOPATHIC PULMONARY FIBROSIS
37,GSM2204762,Correct,Yes,CONTROL - LUNG EPITHELIAL CELLS,"[(99.75, 'CONTROL - LUNG EPITHELIAL CELLS'), (0.21, 'CONTROL - PRIMARY BRONCHIAL EPITHELIAL CELLS'), (0.01, 'CONTROL - FIBROBLASTS')]",IDIOPATHIC PULMONARY FIBROSIS
38,GSM2204776,Correct,Yes,CONTROL - LUNG EPITHELIAL CELLS,"[(99.87, 'CONTROL - LUNG EPITHELIAL CELLS'), (0.06, 'CONTROL - PRIMARY BRONCHIAL EPITHELIAL CELLS'), (0.01, 'CONTROL - FIBROBLASTS')]",IDIOPATHIC PULMONARY FIBROSIS
39,GSM2204778,Correct,Yes,CONTROL - LUNG EPITHELIAL CELLS,"[(99.81, 'CONTROL - LUNG EPITHELIAL CELLS'), (0.14, 'CONTROL - PRIMARY BRONCHIAL EPITHELIAL CELLS'), (0.01, 'CONTROL - FIBROBLASTS')]",IDIOPATHIC PULMONARY FIBROSIS
40,GSM2204783,Correct,Yes,CONTROL - LUNG EPITHELIAL CELLS,"[(99.83, 'CONTROL - LUNG EPITHELIAL CELLS'), (0.13, 'CONTROL - PRIMARY BRONCHIAL EPITHELIAL CELLS'), (0.01, 'CONTROL - FIBROBLASTS')]",IDIOPATHIC PULMONARY FIBROSIS
41,GSM2204786,Correct,Yes,CONTROL - LUNG EPITHELIAL CELLS,"[(99.79, 'CONTROL - LUNG EPITHELIAL CELLS'), (0.16, 'CONTROL - PRIMARY BRONCHIAL EPITHELIAL CELLS'), (0.01, 'CONTROL - FIBROBLASTS')]",IDIOPATHIC PULMONARY FIBROSIS
42,GSM2204787,Correct,Yes,CONTROL - LUNG EPITHELIAL CELLS,"[(99.81, 'CONTROL - LUNG EPITHELIAL CELLS'), (0.13, 'CONTROL - PRIMARY BRONCHIAL EPITHELIAL CELLS'), (0.01, 'RESPIRATORY DISTRESS SYNDROME')]",IDIOPATHIC PULMONARY FIBROSIS
43,GSM2213995,Correct,Yes,"LUNG DISEASES, INTERSTITIAL","[(99.99, 'LUNG DISEASES, INTERSTITIAL'), (0.0, 'CONTROL - PRIMARY HUMAN ALVEOLAR EPITHELIAL CELLS'), (0.0, 'CONTROL - LUNG')]",IDIOPATHIC PULMONARY FIBROSIS
44,GSM1376114,Correct,Yes,"LUNG DISEASES, OBSTRUCTIVE","[(39.14, 'LUNG DISEASES, OBSTRUCTIVE'), (29.91, 'HYPERSENSITIVITY, IMMEDIATE'), (15.32, 'ASTHMA')]",CHRONIC OBSTRUCTIVE PULMONARY DISEASE
45,GSM2226817,Correct,Yes,BACTERIAL INFECTIONS,"[(99.77, 'BACTERIAL INFECTIONS'), (0.22, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.0, 'CONTROL - MEMORY CD3+CD8+ T CELLS')]",ACTIVE TUBERCULOSIS
46,GSM2226822,Correct,Yes,BACTERIAL INFECTIONS,"[(99.68, 'BACTERIAL INFECTIONS'), (0.31, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.0, 'CONTROL - MONOCYTES')]",LATENT TUBERCULOSIS
47,GSM2226843,Correct,Yes,BACTERIAL INFECTIONS,"[(99.61, 'BACTERIAL INFECTIONS'), (0.37, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.01, 'MYCOSES')]",ACTIVE TUBERCULOSIS
48,GSM2236279,Incorrect,Yes,CONTROL - MEMORY CD3+CD8+ T CELLS,"[(45.26, 'CONTROL - MEMORY CD3+CD4+ T CELLS'), (42.35, 'CONTROL - MEMORY CD3+CD8+ T CELLS'), (8.9, 'CONTROL - BLOOD')]",TUBERCULOSIS INFECTION
49,GSM2236280,Correct,Yes,CONTROL - MEMORY CD3+CD4+ T CELLS,"[(59.28, 'CONTROL - MEMORY CD3+CD4+ T CELLS'), (33.38, 'CONTROL - MEMORY CD3+CD8+ T CELLS'), (1.71, 'CONTROL - BLOOD')]",TUBERCULOSIS INFECTION
50,GSM2236284,Correct,Yes,CONTROL - MEMORY CD3+CD4+ T CELLS,"[(62.11, 'CONTROL - MEMORY CD3+CD4+ T CELLS'), (28.32, 'CONTROL - MEMORY CD3+CD8+ T CELLS'), (2.14, 'CONTROL - BRONCHUS')]",TUBERCULOSIS INFECTION
51,GSM2236288,Correct,Yes,BACTERIAL INFECTIONS,"[(99.48, 'BACTERIAL INFECTIONS'), (0.48, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.01, 'MYCOSES')]",TUBERCULOSIS INFECTION
52,GSM2236291,Correct,Yes,BACTERIAL INFECTIONS,"[(99.81, 'BACTERIAL INFECTIONS'), (0.17, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.01, 'CONTROL - MEMORY CD3+CD8+ T CELLS')]",TUBERCULOSIS INFECTION
53,GSM2236293,Correct,Yes,BACTERIAL INFECTIONS,"[(99.7, 'BACTERIAL INFECTIONS'), (0.28, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.01, 'MYCOSES')]",TUBERCULOSIS INFECTION
54,GSM2236297,Incorrect,Yes,CONTROL - MEMORY CD3+CD8+ T CELLS,"[(48.43, 'CONTROL - MEMORY CD3+CD4+ T CELLS'), (37.69, 'CONTROL - MEMORY CD3+CD8+ T CELLS'), (6.51, 'CONTROL - BRONCHUS')]",TUBERCULOSIS INFECTION
55,GSM2236304,Correct,Yes,CONTROL - MEMORY CD3+CD4+ T CELLS,"[(54.15, 'CONTROL - MEMORY CD3+CD4+ T CELLS'), (33.22, 'CONTROL - MEMORY CD3+CD8+ T CELLS'), (5.0, 'CONTROL - BRONCHUS')]",TUBERCULOSIS INFECTION
56,GSM2236305,Incorrect,Yes,CONTROL - MEMORY CD3+CD8+ T CELLS,"[(50.3, 'CONTROL - MEMORY CD3+CD4+ T CELLS'), (40.89, 'CONTROL - MEMORY CD3+CD8+ T CELLS'), (4.85, 'CONTROL - BLOOD')]",TUBERCULOSIS INFECTION
57,GSM1376119,Incorrect,Yes,"LUNG DISEASES, OBSTRUCTIVE","[(32.89, 'PNEUMONIA'), (23.19, 'LUNG DISEASES, OBSTRUCTIVE'), (21.52, 'ASTHMA')]",CHRONIC OBSTRUCTIVE PULMONARY DISEASE
58,GSM2236308,Correct,Yes,BACTERIAL INFECTIONS,"[(99.69, 'BACTERIAL INFECTIONS'), (0.29, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.01, 'CONTROL - MEMORY CD3+CD8+ T CELLS')]",TUBERCULOSIS INFECTION
59,GSM2236310,Correct,Yes,BACTERIAL INFECTIONS,"[(99.8, 'BACTERIAL INFECTIONS'), (0.18, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.0, 'CONTROL - MEMORY CD3+CD8+ T CELLS')]",TUBERCULOSIS INFECTION
60,GSM2236314,Correct,Yes,BACTERIAL INFECTIONS,"[(99.81, 'BACTERIAL INFECTIONS'), (0.17, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.01, 'CONTROL - MEMORY CD3+CD8+ T CELLS')]",TUBERCULOSIS INFECTION
61,GSM2236315,Correct,Yes,BACTERIAL INFECTIONS,"[(99.82, 'BACTERIAL INFECTIONS'), (0.17, 'CONTROL - CD206+ CD45+ MACROPHAGES'), (0.0, 'CONTROL - MEMORY CD3+CD8+ T CELLS')]",TUBERCULOSIS INFECTION
62,GSM2261512,Correct,Yes,"HYPERSENSITIVITY, IMMEDIATE","[(36.26, 'HYPERSENSITIVITY, IMMEDIATE'), (26.72, 'LUNG DISEASES, OBSTRUCTIVE'), (22.79, 'ASTHMA')]",ASTHMA
63,GSM1376120,Correct,Yes,"LUNG DISEASES, OBSTRUCTIVE","[(36.37, 'LUNG DISEASES, OBSTRUCTIVE'), (32.8, 'HYPERSENSITIVITY, IMMEDIATE'), (15.74, 'ASTHMA')]",CHRONIC OBSTRUCTIVE PULMONARY DISEASE
64,GSM1376121,Correct,Yes,"LUNG DISEASES, OBSTRUCTIVE","[(35.97, 'LUNG DISEASES, OBSTRUCTIVE'), (32.06, 'HYPERSENSITIVITY, IMMEDIATE'), (17.39, 'ASTHMA')]",CHRONIC OBSTRUCTIVE PULMONARY DISEASE
65,GSM2261518,Incorrect,Yes,ASTHMA,"[(35.62, 'HYPERSENSITIVITY, IMMEDIATE'), (28.24, 'LUNG DISEASES, OBSTRUCTIVE'), (21.58, 'ASTHMA')]",ASTHMA
66,GSM2261518,Incorrect,Yes,"LUNG DISEASES, OBSTRUCTIVE","[(35.62, 'HYPERSENSITIVITY, IMMEDIATE'), (28.24, 'LUNG DISEASES, OBSTRUCTIVE'), (21.58, 'ASTHMA')]",ASTHMA
67,GSM2261520,Correct,Yes,CONTROL - BRONCHIAL EPITHELIAL CELLS,"[(88.32, 'CONTROL - BRONCHIAL EPITHELIAL CELLS'), (7.77, 'CONTROL - PRIMARY HUMAN ALVEOLAR EPITHELIAL CELLS'), (1.45, 'CONTROL - PRIMARY BRONCHIAL EPITHELIAL CELLS')]",ASTHMA
68,GSM2261521,Incorrect,Yes,ASTHMA,"[(33.57, 'HYPERSENSITIVITY, IMMEDIATE'), (29.67, 'LUNG DISEASES, OBSTRUCTIVE'), (21.98, 'ASTHMA')]",ASTHMA
69,GSM2261522,Correct,Yes,"HYPERSENSITIVITY, IMMEDIATE","[(33.3, 'HYPERSENSITIVITY, IMMEDIATE'), (32.63, 'LUNG DISEASES, OBSTRUCTIVE'), (20.3, 'ASTHMA')]",ASTHMA
70,GSM2261523,Correct,Yes,"HYPERSENSITIVITY, IMMEDIATE","[(33.67, 'HYPERSENSITIVITY, IMMEDIATE'), (26.37, 'ASTHMA'), (21.7, 'LUNG DISEASES, OBSTRUCTIVE')]",ASTHMA
71,GSM2261523,Incorrect,Yes,ASTHMA,"[(33.67, 'HYPERSENSITIVITY, IMMEDIATE'), (26.37, 'ASTHMA'), (21.7, 'LUNG DISEASES, OBSTRUCTIVE')]",ASTHMA
72,GSM2261525,Incorrect,Yes,"LUNG DISEASES, OBSTRUCTIVE","[(33.32, 'HYPERSENSITIVITY, IMMEDIATE'), (31.26, 'LUNG DISEASES, OBSTRUCTIVE'), (21.18, 'ASTHMA')]",ASTHMA
73,GSM2261526,Incorrect,Yes,"HYPERSENSITIVITY, IMMEDIATE","[(32.82, 'LUNG DISEASES, OBSTRUCTIVE'), (28.58, 'HYPERSENSITIVITY, IMMEDIATE'), (20.54, 'ASTHMA')]",ASTHMA
74,GSM2261528,Incorrect,Yes,"HYPERSENSITIVITY, IMMEDIATE","[(32.28, 'LUNG DISEASES, OBSTRUCTIVE'), (31.11, 'HYPERSENSITIVITY, IMMEDIATE'), (20.91, 'ASTHMA')]",ASTHMA
75,GSM2261528,Incorrect,Yes,ASTHMA,"[(32.28, 'LUNG DISEASES, OBSTRUCTIVE'), (31.11, 'HYPERSENSITIVITY, IMMEDIATE'), (20.91, 'ASTHMA')]",ASTHMA
76,GSM1376124,Incorrect,Yes,"LUNG DISEASES, OBSTRUCTIVE","[(29.6, 'HYPERSENSITIVITY, IMMEDIATE'), (26.58, 'ASTHMA'), (26.08, 'LUNG DISEASES, OBSTRUCTIVE')]",CHRONIC OBSTRUCTIVE PULMONARY DISEASE
77,GSM2261530,Incorrect,Yes,"LUNG DISEASES, OBSTRUCTIVE","[(31.49, 'HYPERSENSITIVITY, IMMEDIATE'), (30.8, 'LUNG DISEASES, OBSTRUCTIVE'), (20.74, 'ASTHMA')]",ASTHMA
78,GSM2261530,Correct,Yes,"HYPERSENSITIVITY, IMMEDIATE","[(31.49, 'HYPERSENSITIVITY, IMMEDIATE'), (30.8, 'LUNG DISEASES, OBSTRUCTIVE'), (20.74, 'ASTHMA')]",ASTHMA
79,GSM1275177,Incorrect,Yes,"HYPERSENSITIVITY, IMMEDIATE","[(33.92, 'LUNG DISEASES, OBSTRUCTIVE'), (32.82, 'HYPERSENSITIVITY, IMMEDIATE'), (18.06, 'ASTHMA')]",ALLERGIC ASTHMA
80,GSM2261534,Correct,Yes,CONTROL - BRONCHIAL EPITHELIAL CELLS,"[(83.88, 'CONTROL - BRONCHIAL EPITHELIAL CELLS'), (6.51, 'CONTROL - PRIMARY BRONCHIAL EPITHELIAL CELLS'), (4.48, 'CONTROL - MONOCYTES')]",ASTHMA
81,GSM2261535,Correct,Yes,CONTROL - BRONCHIAL EPITHELIAL CELLS,"[(87.27, 'CONTROL - BRONCHIAL EPITHELIAL CELLS'), (7.83, 'CONTROL - PRIMARY HUMAN ALVEOLAR EPITHELIAL CELLS'), (2.83, 'CONTROL - PRIMARY BRONCHIAL EPITHELIAL CELLS')]",ASTHMA
82,GSM2261536,Correct,Yes,CONTROL - BRONCHIAL EPITHELIAL CELLS,"[(74.3, 'CONTROL - BRONCHIAL EPITHELIAL CELLS'), (20.52, 'CONTROL - PRIMARY BRONCHIAL EPITHELIAL CELLS'), (2.51, 'CONTROL - PRIMARY HUMAN ALVEOLAR EPITHELIAL CELLS')]",ASTHMA
83,GSM2261537,Incorrect,Yes,ASTHMA,"[(35.89, 'LUNG DISEASES, OBSTRUCTIVE'), (31.75, 'HYPERSENSITIVITY, IMMEDIATE'), (15.83, 'ASTHMA')]",ASTHMA
84,GSM2261537,Incorrect,Yes,"HYPERSENSITIVITY, IMMEDIATE","[(35.89, 'LUNG DISEASES, OBSTRUCTIVE'), (31.75, 'HYPERSENSITIVITY, IMMEDIATE'), (15.83, 'ASTHMA')]",ASTHMA
85,GSM2277340,Correct,Yes,"LUNG DISEASES, OBSTRUCTIVE","[(36.84, 'LUNG DISEASES, OBSTRUCTIVE'), (31.51, 'HYPERSENSITIVITY, IMMEDIATE'), (17.16, 'ASTHMA')]",ASTHMA
86,GSM1376127,Correct,Yes,"LUNG DISEASES, OBSTRUCTIVE","[(32.01, 'LUNG DISEASES, OBSTRUCTIVE'), (28.24, 'HYPERSENSITIVITY, IMMEDIATE'), (21.31, 'ASTHMA')]",CHRONIC OBSTRUCTIVE PULMONARY DISEASE
87,GSM2277345,Incorrect,Yes,ASTHMA,"[(30.56, 'HYPERSENSITIVITY, IMMEDIATE'), (29.07, 'LUNG DISEASES, OBSTRUCTIVE'), (22.57, 'ASTHMA')]",ASTHMA
88,GSM2277346,Correct,Yes,"HYPERSENSITIVITY, IMMEDIATE","[(34.08, 'HYPERSENSITIVITY, IMMEDIATE'), (29.44, 'LUNG DISEASES, OBSTRUCTIVE'), (21.69, 'ASTHMA')]",ASTHMA
89,GSM2277346,Incorrect,Yes,ASTHMA,"[(34.08, 'HYPERSENSITIVITY, IMMEDIATE'), (29.44, 'LUNG DISEASES, OBSTRUCTIVE'), (21.69, 'ASTHMA')]",ASTHMA
90,GSM2277348,Correct,Yes,"LUNG DISEASES, OBSTRUCTIVE","[(32.3, 'LUNG DISEASES, OBSTRUCTIVE'), (25.75, 'HYPERSENSITIVITY, IMMEDIATE'), (18.23, 'ASTHMA')]",ASTHMA
91,GSM2277350,Incorrect,No,CONTROL - AIRWAY EPITHELIAL CELLS,"[(34.74, 'HYPERSENSITIVITY, IMMEDIATE'), (30.55, 'LUNG DISEASES, OBSTRUCTIVE'), (20.76, 'ASTHMA')]",ASTHMA
92,GSM2277354,Incorrect,Yes,"HYPERSENSITIVITY, IMMEDIATE","[(34.22, 'LUNG DISEASES, OBSTRUCTIVE'), (28.1, 'HYPERSENSITIVITY, IMMEDIATE'), (20.56, 'ASTHMA')]",ASTHMA
93,GSM2277355,Incorrect,Yes,"LUNG DISEASES, OBSTRUCTIVE","[(26.99, 'HYPERSENSITIVITY, IMMEDIATE'), (26.41, 'LUNG DISEASES, OBSTRUCTIVE'), (22.07, 'ASTHMA')]",ASTHMA
94,GSM2277356,Correct,Yes,"HYPERSENSITIVITY, IMMEDIATE","[(30.13, 'HYPERSENSITIVITY, IMMEDIATE'), (27.05, 'LUNG DISEASES, OBSTRUCTIVE'), (21.85, 'ASTHMA')]",ASTHMA
95,GSM2277359,Incorrect,No,ASTHMA,"[(55.23, 'PNEUMONIA'), (18.32, 'LUNG DISEASES, OBSTRUCTIVE'), (11.15, 'HYPERSENSITIVITY, IMMEDIATE')]",ASTHMA
96,GSM2277359,Incorrect,Yes,"HYPERSENSITIVITY, IMMEDIATE","[(55.23, 'PNEUMONIA'), (18.32, 'LUNG DISEASES, OBSTRUCTIVE'), (11.15, 'HYPERSENSITIVITY, IMMEDIATE')]",ASTHMA
97,GSM2277360,Incorrect,No,CONTROL - AIRWAY EPITHELIAL CELLS,"[(36.92, 'HYPERSENSITIVITY, IMMEDIATE'), (28.91, 'LUNG DISEASES, OBSTRUCTIVE'), (21.69, 'ASTHMA')]",ASTHMA
