"study ID","Disease Name","Tissue/Cell Type","Data Source","Data Type","Organism","# DEGs"
"DSA00750","Pulmonary Arterial Hypertension","Lung","GEO","Microarray","Homo sapiens","1000"
"DSA00756","Chronic Obstructive Pulmonary Disease","Lung","GEO","Microarray","Mus musculus","1000"
"DSA00767","Bronchopulmonary Dysplasia","Peripheral blood","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00817","Cystic Fibrosis","Bronchus","GEO","RNA-Seq","Homo sapiens","191"
"DSA00818","Cystic Fibrosis","Bronchus","GEO","RNA-Seq","Homo sapiens","219"
"DSA00825","Asthma","Venous blood","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00826","Asthma","Venous blood","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00827","Asthma","Venous blood","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00828","Idiopathic Pulmonary Fibrosis","Lung","GEO","scRNA-Seq","Homo sapiens","1000"
"DSA00829","Idiopathic Pulmonary Fibrosis","Lung","GEO","scRNA-Seq","Homo sapiens","1000"
"DSA00840","Systemic Sclerosis With Lung Involvement","Lung","GEO","scRNA-Seq","Homo sapiens","1000"
"DSA00841","Systemic Sclerosis With Lung Involvement","Lung","GEO","scRNA-Seq","Homo sapiens","1000"
"DSA00877","Respiratory Failure","Lung","GEO","RNA-Seq","Mus musculus","164"
"DSA00878","Respiratory Failure","Lung","GEO","RNA-Seq","Mus musculus","224"
"DSA00892","Lung Injury","Lung","GEO","scRNA-Seq","Mus musculus","1000"
"DSA00896","Lung Squamous Cell Carcinoma","Lung","GEO","RNA-Seq","Mus musculus","1000"
"DSA00925","Lung Injury","Lung","GEO","scRNA-Seq","Mus musculus","1000"
"DSA00926","Lung Injury","Lung","GEO","scRNA-Seq","Mus musculus","1000"
"DSA00940","Lung Injury","Lung","GEO","scRNA-Seq","Mus musculus","1000"
"DSA00941","Lung Injury","Lung","GEO","scRNA-Seq","Mus musculus","1000"
"DSA00947","Chronic Obstructive Pulmonary Disease","Alveolar macrophages","GEO","Microarray","Homo sapiens","1000"
"DSA00952","Lung Injury","Lung","GEO","scRNA-Seq","Mus musculus","1000"
"DSA00955","Lung Injury","Lung","GEO","scRNA-Seq","Mus musculus","1000"
"DSA00956","Lung Injury","Lung","GEO","scRNA-Seq","Mus musculus","1000"
"DSA00960","Lung Injury","Lung","GEO","scRNA-Seq","Mus musculus","1000"
"DSA00962","Pulmonary Arterial Hypertension","Blood Peripheral blood mononuclear cells (PBMCs)","GEO","Microarray","Homo sapiens","0"
"DSA00970","Lung Injury","Lung","GEO","scRNA-Seq","Mus musculus","1000"
"DSA00973","Allergic Asthma","Peripheral blood mononuclear cells (PBMCs)","GEO","Microarray","Homo sapiens","0"
"DSA00974","Allergic Asthma","Whole blood","GEO","Microarray","Homo sapiens","1"
"DSA00975","Lung Injury","Lung","GEO","scRNA-Seq","Mus musculus","1000"
"DSA00976","Lung Injury","Lung","GEO","scRNA-Seq","Mus musculus","1000"
"DSA00977","Lung Injury","Lung","GEO","scRNA-Seq","Mus musculus","1000"
"DSA00982","Lung Injury","Lung","GEO","scRNA-Seq","Mus musculus","890"
"DSA00993","Allergic Asthma","Null","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00994","Allergic Asthma","Null","GEO","RNA-Seq","Homo sapiens","0"
"DSA00997","Idiopathic Pulmonary Fibrosis","Lung","GEO","scRNA-Seq","Mus musculus","7"
"DSA00998","Idiopathic Pulmonary Fibrosis","Lung","GEO","scRNA-Seq","Mus musculus","6"
"DSA01009","Idiopathic Pulmonary Fibrosis","Lung","GEO","scRNA-Seq","Mus musculus","1000"
"DSA01010","Idiopathic Pulmonary Fibrosis","Lung","GEO","scRNA-Seq","Mus musculus","1000"
"DSA01011","Idiopathic Pulmonary Fibrosis","Lung","GEO","scRNA-Seq","Homo sapiens","1000"
"DSA01022","Meckel Syndrome","IPSCs-derived Retinal sheet","GEO","RNA-Seq","Homo sapiens","1000"
"DSA01029","Non-Small Cell Lung Cancer","NSCLC cell line","GEO","RNA-Seq","Homo sapiens","1000"
"DSA01030","Non-Small Cell Lung Cancer","NSCLC cell line","GEO","RNA-Seq","Homo sapiens","1000"
"DSA01031","Lung Injury","Lung","GEO","scRNA-Seq","Mus musculus","29"
"DSA01032","Lung Injury","Lung","GEO","scRNA-Seq","Mus musculus","734"
"DSA01033","Lung Injury","Lung","GEO","scRNA-Seq","Mus musculus","773"
"DSA01034","Lung Injury","Lung","GEO","scRNA-Seq","Mus musculus","1000"
"DSA01048","Lung Injury","Lung","GEO","scRNA-Seq","Mus musculus","1000"
"DSA01049","Lung Injury","Lung","GEO","scRNA-Seq","Mus musculus","1000"
"DSA01061","Lung Injury","Lung","GEO","scRNA-Seq","Mus musculus","1000"
"DSA01062","Lung Injury","Lung","GEO","scRNA-Seq","Mus musculus","1000"
"DSA01063","Acute Lung Injury","Lung","GEO","RNA-Seq","Mus musculus","1000"
"DSA01069","Lung Injury","Lung","GEO","scRNA-Seq","Mus musculus","1000"
"DSA01094","Idiopathic Pulmonary Fibrosis","Lung","GEO","Microarray","Homo sapiens","1000"
"DSA01095","Idiopathic Pulmonary Fibrosis","Lung","GEO","Microarray","Homo sapiens","1000"
"DSA01096","Idiopathic Pulmonary Fibrosis","Lung","GEO","Microarray","Homo sapiens","1000"
"DSA01173","Cystic Fibrosis","Whole blood","GEO","RNA-Seq","Homo sapiens","1000"
"DSA01175","Asthma","Bronchoalveolar lavage cells","GEO","RNA-Seq","Homo sapiens","1"
"DSA01176","Asthma","Bronchoalveolar lavage cells","GEO","RNA-Seq","Homo sapiens","15"
"DSA01200","Chronic Obstructive Pulmonary Disease","Airway epithelial cells","GEO","Microarray","Homo sapiens","1000"
"DSA01230","Asthma","Sputum","GEO","Microarray","Homo sapiens","240"
"DSA01231","Asthma","Sputum","GEO","Microarray","Homo sapiens","574"
"DSA01263","Burn-Mckeown Syndrome","Induced neural crest cells","GEO","RNA-Seq","Homo sapiens","1000"
"DSA01264","Burn-Mckeown Syndrome","Induced neural crest cells","GEO","RNA-Seq","Homo sapiens","1000"
"DSA01310","Lung Tumor","Lung","GEO","RNA-Seq","Homo sapiens","1000"
"DSA01314","Respiratory System Disease","Nasal polyp","GEO","Microarray","Homo sapiens","602"
"DSA01333","Idiopathic Pulmonary Fibrosis","Epithelial cells differentiated from mesenchymal stems cell-like cells","GEO","RNA-Seq","Homo sapiens","574"
"DSA01334","Langerhans Cell Histiocytosis","Peripheral blood","GEO","RNA-Seq","Homo sapiens","286"
"DSA01344","Asthma","Nasal airway epithelium","GEO","RNA-Seq","Homo sapiens","1000"
"DSA01353","Chronic Obstructive Pulmonary Disease","Primary bronchial epithelial cells","GEO","RNA-Seq","Homo sapiens","0"
"DSA01354","Chronic Obstructive Pulmonary Disease","Primary bronchial epithelial cells","GEO","RNA-Seq","Homo sapiens","3"
"DSA01362","Lung Metastases","Lung","GEO","scRNA-Seq","Mus musculus","1000"
"DSA01375","Nonallergic Asthma","Peripheral blood","GEO","Microarray","Homo sapiens","0"
"DSA01376","Allergic Asthma","Peripheral blood","GEO","Microarray","Homo sapiens","48"
"DSA01382","Non-Small Cell Lung Cancer","Lung","GEO","Microarray","Homo sapiens","1000"
"DSA01398","Lung Carcinoid Tumor","Lung","GEO","Microarray","Homo sapiens","1000"
"DSA01482","Idiopathic Pulmonary Fibrosis","Lung","GEO","RNA-Seq","Homo sapiens","1000"
"DSA01521","Asthma","Peripheral blood","GEO","RNA-Seq","Homo sapiens","1000"
"DSA01522","Asthma","Peripheral blood","GEO","RNA-Seq","Homo sapiens","8"
"DSA01534","Pulmonary Arterial Hypertension","Lung","GEO","Microarray","Homo sapiens","1000"
"DSA01539","Asthma","Tracheobronchial","GEO","RNA-Seq","Homo sapiens","219"
"DSA01540","Asthma","Tracheobronchial","GEO","RNA-Seq","Homo sapiens","185"
"DSA01541","Asthma","Tracheobronchial","GEO","RNA-Seq","Homo sapiens","148"
"DSA01542","Asthma","Tracheobronchial","GEO","RNA-Seq","Homo sapiens","302"
"DSA01555","Malignant Pleural Mesothelioma","Mesothelial cells","GEO","Microarray","Homo sapiens","233"
"DSA01556","Malignant Pleural Mesothelioma","Mesothelial cells","GEO","Microarray","Homo sapiens","193"
"DSA01557","Malignant Pleural Mesothelioma","Mesothelial cells","GEO","Microarray","Homo sapiens","151"
"DSA01571","Allergic Rhinitis","Nasal","GEO","Microarray","Homo sapiens","0"
"DSA01601","Idiopathic Pulmonary Fibrosis","Lung","GEO","RNA-Seq","Homo sapiens","1000"
"DSA01602","Idiopathic Pulmonary Fibrosis","Lung","GEO","RNA-Seq","Homo sapiens","1000"
"DSA01606","Granulomatosis With Polyangiitis","Nasal","GEO","Microarray","Homo sapiens","8"
"DSA01607","Pulmonary Tuberculosis","Whole blood","GEO","Microarray","Homo sapiens","0"
"DSA01636","Lung Injury","Lung","GEO","RNA-Seq","Mus musculus","1000"
"DSA01651","Asthma","Bronchus","GEO","Microarray","Homo sapiens","1000"
"DSA01652","Severe Asthma","Bronchus","GEO","Microarray","Homo sapiens","0"
"DSA01664","Asthma","Blood","ArrayExpress","RNA-Seq","Homo sapiens","1000"
"DSA01665","Asthma","Blood","ArrayExpress","RNA-Seq","Homo sapiens","1000"
"DSA01741","Langerhans Cell Histiocytosis","Bone","GEO","Microarray","Homo sapiens","1000"
"DSA01755","Asthma","CD4+ T cells","GEO","Microarray","Homo sapiens","1000"
"DSA01761","Influenza","CD4+ T cells","GEO","Microarray","Homo sapiens","1000"
"DSA01764","Seasonal Allergic Rhinitis","CD4+ T cells","GEO","Microarray","Homo sapiens","141"
"DSA01766","Acute Tonsillitis","CD4+ T cells","GEO","Microarray","Homo sapiens","1000"
"DSA01826","Cystic Fibrosis","Whole blood","GEO","RNA-Seq","Homo sapiens","1000"
"DSA01830","Idiopathic Pulmonary Fibrosis","Lung","GEO","RNA-Seq","Homo sapiens","1000"
"DSA01879","Idiopathic Interstitial Pneumonia","Lung","GEO","Microarray","Homo sapiens","80"
"DSA01884","Allergic Asthma","Alveolar macrophages","GEO","Microarray","Homo sapiens","0"
"DSA01893","Lung Injury","Lung","GEO","Microarray","Mus musculus","473"
"DSA01894","Lung Injury","Lung","GEO","Microarray","Mus musculus","1000"
"DSA01895","Idiopathic Pulmonary Fibrosis","Lung","GEO","Microarray","Homo sapiens","601"
"DSA01896","Idiopathic Pulmonary Fibrosis","Lung","GEO","Microarray","Homo sapiens","95"
"DSA01897","Idiopathic Pulmonary Fibrosis","Lung","GEO","Microarray","Homo sapiens","76"
"DSA01898","Idiopathic Pulmonary Fibrosis","Lung","GEO","Microarray","Homo sapiens","34"
"DSA01899","Progressive Idiopathic Pulmonary Fibrosis","Lung","GEO","Microarray","Homo sapiens","0"
"DSA01900","Progressive Idiopathic Pulmonary Fibrosis","Lung","GEO","Microarray","Homo sapiens","1"
"DSA01929","Asthma","White blood cells","GEO","Microarray","Homo sapiens","211"
"DSA01930","Asthma","White blood cells","GEO","Microarray","Homo sapiens","170"
"DSA01931","Severe Asthma","White blood cells","GEO","Microarray","Homo sapiens","701"
"DSA01932","Influenza","Blood","GEO","Microarray","Homo sapiens","1000"
"DSA01955","Cystic Fibrosis","Lung","GEO","Microarray","Mus musculus","315"
"DSA01956","Cystic Fibrosis","Lung","GEO","Microarray","Mus musculus","463"
"DSA01960","Asthma","CD4+ T-cells","GEO","Microarray","Homo sapiens","0"
"DSA01961","Asthma","CD4+ T-cells","GEO","Microarray","Homo sapiens","0"
"DSA01962","Asthma","CD8+ T-cells","GEO","Microarray","Homo sapiens","1000"
"DSA01963","Asthma","CD8+ T-cells","GEO","Microarray","Homo sapiens","0"
"DSA01964","Severe Asthma","CD4+ T-cells","GEO","Microarray","Homo sapiens","0"
"DSA01965","Severe Asthma","CD8+ T-cells","GEO","Microarray","Homo sapiens","0"
"DSA01966","Allergic Asthma","Lung","GEO","Microarray","Mus musculus","1000"
"DSA01967","Allergic Asthma","Lung","GEO","Microarray","Mus musculus","543"
"DSA01991","Idiopathic Pulmonary Arterial Hypertension","Null","GEO","Microarray","Homo sapiens","1000"
"DSA01994","Interstitial Lung Disease","Null","GEO","Microarray","Homo sapiens","1000"
"DSA01999","Influenza","Peripheral blood mononuclear cells (PBMCs)","GEO","Microarray","Homo sapiens","1000"
"DSA02040","Bacterial Pneumonia","Blood","GEO","Microarray","Homo sapiens","1000"
"DSA02041","Influenza And Pneumonia","Blood","GEO","Microarray","Homo sapiens","1000"
"DSA02047","Allergic Asthma","Bronchus","GEO","Microarray","Homo sapiens","0"
"DSA02060","Asthma","Null","GEO","Microarray","Homo sapiens","318"
"DSA02063","Idiopathic Pulmonary Fibrosis","Fibroblasts","GEO","Microarray","Homo sapiens","1"
"DSA02064","Idiopathic Pulmonary Fibrosis","Fibroblasts","GEO","Microarray","Homo sapiens","0"
"DSA02121","Allergic Asthma","Bronchial epithelium","GEO","Microarray","Homo sapiens","0"
"DSA02122","Allergic Asthma","Bronchial epithelium","GEO","Microarray","Homo sapiens","0"
"DSA02123","Allergic Asthma","Nasal epithelium","GEO","Microarray","Homo sapiens","0"
"DSA02124","Allergic Asthma","Nasal epithelium","GEO","Microarray","Homo sapiens","0"
"DSA02125","Allergic Rhinitis","Bronchial epithelium","GEO","Microarray","Homo sapiens","0"
"DSA02126","Allergic Rhinitis","Bronchial epithelium","GEO","Microarray","Homo sapiens","0"
"DSA02127","Allergic Rhinitis","Nasal epithelium","GEO","Microarray","Homo sapiens","0"
"DSA02128","Allergic Rhinitis","Nasal epithelium","GEO","Microarray","Homo sapiens","0"
"DSA02190","Pulmonary Arterial Hypertension","Heart right ventricular wall","GEO","Microarray","Homo sapiens","348"
"DSA02202","Idiopathic Pulmonary Hypertension","Blood cells","GEO","Microarray","Homo sapiens","0"
"DSA02225","Influenza","Lymph node","GEO","Microarray","Mus musculus","1000"
"DSA02248","Asthma","Bronchial Epithelial Cells","GEO","Microarray","Homo sapiens","34"
"DSA02249","Asthma","Bronchial Epithelial Cells","GEO","Microarray","Homo sapiens","873"
"DSA02258","Cystic Fibrosis","Small intestine","GEO","Microarray","Mus musculus","10"
"DSA02272","Pulmonary Arterial Hypertension","Peripheral blood mononuclear cells (PBMCs)","GEO","Microarray","Homo sapiens","97"
"DSA02302","Atopic Asthma","Epithelial cells","GEO","Microarray","Homo sapiens","1000"
"DSA02324","Malignant Pleural Mesothelioma","Null","GEO","Microarray","Homo sapiens","1000"
"DSA02355","Allergic Asthma","Bronchial epithelium","GEO","Microarray","Homo sapiens","2"
"DSA02369","Lung Squamous Cell Carcinoma","Lung","GEO","Microarray","Homo sapiens","659"
"DSA02410","Cystic Fibrosis","Rectal mucosa","GEO","Microarray","Homo sapiens","18"
"DSA02412","Severe Acute Respiratory Syndrome","Blood","GEO","Microarray","Homo sapiens","134"
"DSA02418","Cystic Fibrosis","Pancreas","GEO","Microarray","Mus musculus","0"
"DSA02434","Allergic Asthma","Lung","GEO","Microarray","Mus musculus","45"
"DSA02437","Idiopathic Fibrosing Alveolitis","Lung","GEO","Microarray","Homo sapiens","0"
"DSA02438","Idiopathic Pulmonary Fibrosis","Lung","GEO","Microarray","Homo sapiens","0"
"DSA02439","Idiopathic Fibrosing Alveolitis","Lung","GEO","Microarray","Homo sapiens","0"
"DSA02440","Idiopathic Pulmonary Fibrosis","Lung","GEO","Microarray","Homo sapiens","0"
"DSA02450","Severe Asthma","Peripheral blood mononuclear cells (PBMCs)","GEO","Microarray","Homo sapiens","786"
"DSA02461","Hypersensitivity Pneumonitis","Lung","GEO","Microarray","Homo sapiens","495"
"DSA02482","Cystic Fibrosis","Liver","GEO","Microarray","Mus musculus","1000"
"DSA02500","Lung Cancer","Lung","GEO","Microarray","Mus musculus","1000"
"DSA02521","Primary Pulmonary Hypoplasia","Lung","GEO","Microarray","Mus musculus","0"
"DSA02542","Pulmonary Sarcoidosis","Lung","GEO","Microarray","Homo sapiens","517"
"DSA02544","Emphysema","Lung","GEO","Microarray","Homo sapiens","15"
"DSA02545","Emphysema","Lung","GEO","Microarray","Homo sapiens","1"
"DSA02548","Spinal Muscular Atrophy With Respiratory Distress Type 1","Lumbar spinal cord","GEO","Microarray","Mus musculus","1"
"DSA02553","Idiopathic Pulmonary Fibrosis","Null","GEO","Microarray","Homo sapiens","0"
"DSA02554","Chronic Obstructive Pulmonary Disease","Lung","GEO","Microarray","Homo sapiens","1"
"DSA02595","Asthma","Bronchus","GEO","Microarray","Homo sapiens","219"
"DSA02596","Asthma","Bronchus","GEO","Microarray","Homo sapiens","15"
"DSA02602","Lung Cancer","Lung","GEO","Microarray","Homo sapiens","1000"
"DSA02603","Asthma","Bronchus","GEO","Microarray","Homo sapiens","828"
"DSA02604","Asthma","Bronchus","GEO","Microarray","Homo sapiens","1000"
"DSA02633","Allergic Rhinitis","Sputum","GEO","Microarray","Homo sapiens","0"
"DSA02634","Allergic Rhinitis","Sputum","GEO","Microarray","Homo sapiens","3"
"DSA02636","Severe Acute Respiratory Syndrome","Lung","ArrayExpress","RNA-Seq","Mus musculus","1000"
"DSA02637","Severe Acute Respiratory Syndrome","Lung","ArrayExpress","RNA-Seq","Mus musculus","1000"
"DSA02638","Asthma","Primary nasal epithalial cells","GEO","RNA-Seq","Homo sapiens","1000"
"DSA02639","Asthma","Primary nasal epithalial cells","GEO","RNA-Seq","Homo sapiens","1000"
"DSA02640","Asthma","Primary nasal epithalial cells","GEO","RNA-Seq","Homo sapiens","1000"
"DSA02641","Asthma","Primary nasal epithalial cells","GEO","RNA-Seq","Homo sapiens","1000"
"DSA02642","Asthma","Large airway epithelium","GEO","Microarray","Homo sapiens","1000"
"DSA02652","Bronchial Asthma","Peripheral blood mononuclear cells (PBMCs)","GEO","Microarray","Homo sapiens","1000"
"DSA02665","Chronic Obstructive Pulmonary Disease","Primary nasal epithalial cells","GEO","RNA-Seq","Homo sapiens","1000"
"DSA02666","Chronic Obstructive Pulmonary Disease","Primary nasal epithalial cells","GEO","RNA-Seq","Homo sapiens","1000"
"DSA02667","Chronic Obstructive Pulmonary Disease","Primary nasal epithalial cells","GEO","RNA-Seq","Homo sapiens","350"
"DSA02668","Chronic Obstructive Pulmonary Disease","Primary nasal epithalial cells","GEO","RNA-Seq","Homo sapiens","51"
"DSA02670","Chronic Obstructive Pulmonary Disease","Cortex","GEO","RNA-Seq","Mus musculus","0"
"DSA02821","Idiopathic Pulmonary Fibrosis","Lung","GEO","RNA-Seq","Homo sapiens","1000"
"DSA02822","Idiopathic Pulmonary Fibrosis","Lung","GEO","RNA-Seq","Homo sapiens","1000"
"DSA02823","Idiopathic Pulmonary Fibrosis","Lung","GEO","RNA-Seq","Homo sapiens","1000"
"DSA02824","Idiopathic Pulmonary Fibrosis","Epithelial cells","GEO","RNA-Seq","Homo sapiens","1000"
"DSA02825","Idiopathic Pulmonary Fibrosis","Epithelial cells","GEO","RNA-Seq","Homo sapiens","1000"
"DSA02826","Idiopathic Pulmonary Fibrosis","Epithelial cells","GEO","RNA-Seq","Homo sapiens","1000"
"DSA02827","Idiopathic Pulmonary Fibrosis","Epithelial cells","GEO","RNA-Seq","Homo sapiens","1000"
"DSA02828","Idiopathic Pulmonary Fibrosis","Epithelial cells","GEO","RNA-Seq","Homo sapiens","1000"
"DSA02829","Idiopathic Pulmonary Fibrosis","Epithelial cells","GEO","RNA-Seq","Homo sapiens","1000"
"DSA02878","Lung Cancer","Plasma","GEO","RNA-Seq","Homo sapiens","1000"
"DSA02948","Restrictive Respiratory Disease","Nasal cavity","ArrayExpress","RNA-Seq","Homo sapiens","1000"
"DSA02949","Restrictive Respiratory Disease","Sputum","ArrayExpress","RNA-Seq","Homo sapiens","518"
"DSA02957","Restrictive Respiratory Disease","Blood","ArrayExpress","RNA-Seq","Homo sapiens","1000"
"DSA02958","Pfapa Syndrome","Whole blood","GEO","Microarray","Homo sapiens","0"
"DSA02959","Pfapa Syndrome","Whole blood","GEO","Microarray","Homo sapiens","1000"
"DSA02998","Scleroderma-Associated Interstitial Lung Disease","Lung","GEO","RNA-Seq","Homo sapiens","1000"
"DSA02999","Scleroderma-Associated Interstitial Lung Disease","Lung","GEO","RNA-Seq","Homo sapiens","650"
"DSA03000","Scleroderma-Associated Interstitial Lung Disease","Lung","GEO","RNA-Seq","Homo sapiens","1000"
"DSA03077","Chronic Obstructive Pulmonary Disease","Lung","GEO","Microarray","Homo sapiens","1000"
"DSA03078","Chronic Obstructive Pulmonary Disease","Lung","GEO","Microarray","Homo sapiens","1000"
"DSA03102","Chronic Obstructive Pulmonary Disease","Gastrocnemius muscle","GEO","Microarray","Mus musculus","10"
"DSA03128","Cystic Fibrosis","Bronchus","GEO","RNA-Seq","Homo sapiens","66"
"DSA03129","Cystic Fibrosis","Bronchus","GEO","RNA-Seq","Homo sapiens","28"
"DSA03188","Pulmonary Tuberculosis","Bronchus","GEO","Microarray","Homo sapiens","1000"
"DSA03201","Lung Tumor","Lung","GEO","RNA-Seq","Mus musculus","1000"
"DSA03261","Lung Squamous Cell Carcinoma","Lung","GEO","Microarray","Homo sapiens","233"
"DSA03271","Chronic Obstructive Pulmonary Disease","Small airway","GEO","Microarray","Homo sapiens","165"
"DSA03272","Lung Squamous Cell Carcinoma","Lung","GEO","Microarray","Homo sapiens","0"
"DSA03303","Lung Cancer","Lung","GEO","Microarray","Mus musculus","1000"
"DSA03322","Idiopathic Pulmonary Fibrosis","Lung","GEO","Microarray","Homo sapiens","115"
"DSA03333","Lung Cancer","Saliva","GEO","Microarray","Homo sapiens","1000"
"DSA03350","Bronchopulmonary Dysplasia","Blood","GEO","Microarray","Homo sapiens","1000"
"DSA03351","Bronchopulmonary Dysplasia","Blood","GEO","Microarray","Homo sapiens","1"
"DSA03352","Bronchopulmonary Dysplasia","Blood","GEO","Microarray","Homo sapiens","1000"
"DSA03353","Bronchopulmonary Dysplasia","Blood","GEO","Microarray","Homo sapiens","1000"
"DSA03354","Bronchopulmonary Dysplasia","Blood","GEO","Microarray","Homo sapiens","279"
