dsaid,accession,platform,deg_count,disease,diseaseid,tissue,data_source,library_strategy,organism,control_case_sample_count,definition
DSA00035,GSE196481,GPL23038,1000,Acute Pancreatitis,C0001339,Duodenum,GEO,Microarray,Mus musculus,4|4,"DO:A pancreatitis that is characterized by inflammation of the pancreas over a short period of time and has symptoms of severe abdominal pain, nausea, vomiting, diarrhea, fever, and shock."
DSA00036,GSE196454,GPL24247,969,Classic Galactosemia,C0268151,Ovary,GEO,RNA-Seq,Mus musculus,3|3,DO:A galactosemia that has_material_basis_in homozygous or compund heterozygous mutation in GALT on chromosome 9p13.3.
DSA00037,GSE194174,GPL17021,1000,Chronic Pain,C0150055,Dorsal root ganglion,GEO,RNA-Seq,Mus musculus,1|1,"HPO:Persistent pain, usually defined as pain that has lasted longer than 3 to 6 months."
DSA00038,GSE194174,GPL17021,1000,Chronic Pain,C0150055,Dorsal root ganglion,GEO,RNA-Seq,Mus musculus,1|1,"HPO:Persistent pain, usually defined as pain that has lasted longer than 3 to 6 months."
DSA00039,GSE194174,GPL17021,490,Chronic Pain,C0150055,Dorsal root ganglion,GEO,RNA-Seq,Mus musculus,1|1,"HPO:Persistent pain, usually defined as pain that has lasted longer than 3 to 6 months."
DSA00040,GSE6613,GPL96,0,Neurodegenerative Diseases,C0524851,Whole blood,GEO,Microarray,Homo sapiens,22|33,DO:A central nervous system disease that results in the progressive deterioration of function or structure of neurons.
DSA00041,GSE68468,GPL96,604,Colon Cancer,C0699790,Colon,GEO,Microarray,Homo sapiens,1|300,DO:A colon cancer that has_material_basis_in abnormally proliferating cells derives_from epithelial cells.
DSA00042,GSE7670,GPL96,1000,Lung Adenocarcinoma,C0152013,Lung,GEO,Microarray,Homo sapiens,30|27,DO:A respiratory system cancer that is located_in the lung.
DSA00043,GSE7670,GPL96,1000,Lung Cancer,C0684249,Lung,GEO,Microarray,Homo sapiens,30|1,DO:A respiratory system cancer that is located_in the lung.
DSA00044,GSE223972,GPL21290,1000,Multiple Myeloma,C0026764,,GEO,scRNA-Seq,Homo sapiens,2|4,DO:A myeloid neoplasm that is located_in the plasma cells in bone marrow.
DSA00045,GSE223405,GPL16791,1000,Prostate Cancer,C0600139,,GEO,RNA-Seq,Homo sapiens,3|3,DO:A prostate cancer that has_material_basis_in abnormally proliferating cells derives_from epithelial cells.
DSA00046,GSE223405,GPL16791,1000,Prostate Cancer,C0600139,,GEO,RNA-Seq,Homo sapiens,3|3,DO:A prostate cancer that has_material_basis_in abnormally proliferating cells derives_from epithelial cells.
DSA00047,GSE218276,GPL16791,0,Cardiomyopathy,C0878544,Whole blood,GEO,RNA-Seq,Homo sapiens,8|8,DO:A heart disease and a myopathy that is characterized by deterioration of the function of the heart muscle.
DSA00048,GSE218276,GPL24676,121,Cardiomyopathy,C0878544,Whole blood,GEO,RNA-Seq,Homo sapiens,36|6,DO:A heart disease and a myopathy that is characterized by deterioration of the function of the heart muscle.
DSA00049,GSE215979,GPL24247,1000,Diabetic Cardiomyopathy,C0853897,Myocardium,GEO,RNA-Seq,Mus musculus,3|3,"MSH:Diabetes complications in which VENTRICULAR REMODELING in the absence of CORONARY ATHEROSCLEROSIS and hypertension results in cardiac dysfunctions, typically LEFT VENTRICULAR DYSFUNCTION. The changes also result in myocardial hypertrophy, myocardial necrosis and fibrosis, and collagen deposition due to impaired glucose tolerance."
DSA00050,GSE214376,GPL18573,1000,Sporadic Creutzfeldt-Jakob Disease,C1852467,Frontal cortex,GEO,RNA-Seq,Homo sapiens,9|5,"MONDO:Inherited or familial Creutzfeldt-Jakob disease (fCJD) is a very rare form of genetic prion disease characterized by typical CJD features (rapidly progressive dementia, personality/behavioral changes, psychiatric disorders, myoclonus, and ataxia) with a genetic cause and sometimes a family history of dementia."
DSA00051,GSE213337,GPL24247,1000,Diabetes,C0011847,Heart,GEO,scRNA-Seq,Mus musculus,1|1,"DO:A diabetes mellitus that is characterized by high blood sugar, insulin resistance, and relative lack of insulin."
DSA00052,GSE213080,GPL19057,1000,Ischemic Insult,,Left ventricle,GEO,scRNA-Seq,Mus musculus,1|1,
DSA00053,GSE77953,GPL96,1000,Colorectal Adenoma,C1302401,Colorectum,GEO,Microarray,Homo sapiens,13|17,"EFO:An adenoma that arises from the colon or rectum. The group of colorectal adenomas includes tubular, villous, and tubulovillous adenomas, traditional serrated adenomas, sessile serrated adenomas/polyps, and familial adenomatous polyposis."
DSA00054,GSE208719,GPL23479,1000,Leukemia,C0023418,Bone marrow,GEO,RNA-Seq,Mus musculus,2|2,DO:A cancer that affects the blood or bone marrow characterized by an abnormal proliferation of blood cells.
DSA00055,GSE208076,GPL24676,1000,COVID-19,D8888888,Lung,GEO,RNA-Seq,Homo sapiens,3|7,"A Coronavirus infection that is characterized by fever, cough and shortness of breath and that has_material_basis_in SARS-CoV-2."
DSA00056,GSE207854,GPL24247,83,Social Defeat Stress,,Brain,GEO,RNA-Seq,Mus musculus,3|3,
DSA00057,GSE77953,GPL96,1000,Colorectal Carcinoma,C0009402,Colorectum,GEO,Microarray,Homo sapiens,13|17,DO:A colorectal cancer that arises from the colon or rectum and invades through the muscularis mucosa into the submucosa.
DSA00058,GSE7803,GPL96,1000,Squamous Cell Carcinoma of Cervix,C0279671,Cervix,GEO,Microarray,Homo sapiens,10|3,DO:A cervix carcinoma that has_material_basis_in squamous cells of the cervix.
DSA00059,GSE9006,GPL96,236,Type 1 Diabetes,C0011854,Blood,GEO,Microarray,Homo sapiens,24|81,DO:A type 1 diabetes mellitus that has_material_basis_in autosomal dominant inheritance of mutation of the INS gene on chromosome 11p15.5.
DSA00060,GSE9006,GPL96,348,Type 2 Diabetes,C0011860,Blood,GEO,Microarray,Homo sapiens,24|12,"DO:A diabetes mellitus that is characterized by high blood sugar, insulin resistance, and relative lack of insulin."
DSA00061,GSE9006,GPL97,121,Type 1 Diabetes,C0011854,Blood,GEO,Microarray,Homo sapiens,24|81,DO:A type 1 diabetes mellitus that has_material_basis_in autosomal dominant inheritance of mutation of the INS gene on chromosome 11p15.5.
DSA00062,GSE9006,GPL97,143,Type 2 Diabetes,C0011860,Blood,GEO,Microarray,Homo sapiens,24|12,"DO:A diabetes mellitus that is characterized by high blood sugar, insulin resistance, and relative lack of insulin."
DSA00063,GSE9476,GPL96,1000,Acute Myeloid Leukemia,C0023467,,GEO,Microarray,Homo sapiens,18|26,DO:A myeloid leukemia that is characterized by the rapid growth of abnormal white blood cells that accumulate in the bone marrow and interfere with the production of normal blood cells.
DSA00064,GSE9476,GPL96,1000,Acute Myeloid Leukemia,C0023467,,GEO,Microarray,Homo sapiens,10|26,DO:A myeloid leukemia that is characterized by the rapid growth of abnormal white blood cells that accumulate in the bone marrow and interfere with the production of normal blood cells.
DSA00065,GSE196008,GPL13112,1000,Liver Cancer,C2239176,Liver,GEO,RNA-Seq,Mus musculus,3|3,DO:A hepatobiliary system cancer that is located_in the liver.
DSA00066,GSE186027,GPL25526,1000,Hepatoblastoma,C0206624,Liver,GEO,scRNA-Seq,Homo sapiens,1|1,DO:A liver carcinoma that has_material_basis_in undifferentiated hepatocytes and located_in the liver.
DSA00067,GSE186027,GPL25526,566,Hepatoblastoma,C0206624,Liver,GEO,scRNA-Seq,Homo sapiens,1|1,DO:A liver carcinoma that has_material_basis_in undifferentiated hepatocytes and located_in the liver.
DSA00068,GSE223718,GPL24676,1000,Adenocarcinoma,C0001418,,GEO,RNA-Seq,Homo sapiens,3|3,"DO:A carcinoma that has_material_basis_in abnormally proliferating cells, derives_from epithelial cells, which originate in glandular tissue."
DSA00069,GSE223718,GPL24676,1000,Adenocarcinoma,C0001418,,GEO,RNA-Seq,Homo sapiens,3|3,"DO:A carcinoma that has_material_basis_in abnormally proliferating cells, derives_from epithelial cells, which originate in glandular tissue."
DSA00070,GSE217948,GPL24676,1000,COVID-19,D8888888,Whole blood,GEO,RNA-Seq,Homo sapiens,64|202,"A Coronavirus infection that is characterized by fever, cough and shortness of breath and that has_material_basis_in SARS-CoV-2."
DSA00071,GSE214987,GPL24676,1000,Osteoarthritis,C0157946,,GEO,RNA-Seq,Homo sapiens,3|3,DO:An arthritis that has_material_basis_in worn out cartilage located_in joint.
DSA00072,GSE214987,GPL24676,142,Osteoarthritis,C0157946,,GEO,RNA-Seq,Homo sapiens,3|3,DO:An arthritis that has_material_basis_in worn out cartilage located_in joint.
DSA00073,GSE206510,GPL16791,2,Asthma,C0004096,,GEO,RNA-Seq,Homo sapiens,5|5,"DO:A bronchial disease that is characterized by chronic inflammation and narrowing of the airways, which is caused by a combination of environmental and genetic factors. The disease has_symptom recurring periods of wheezing (a whistling sound while breathing), has_symptom chest tightness, has_symptom shortness of breath, has_symptom mucus production and has_symptom coughing."
DSA00074,GSE206510,GPL16791,1,Asthma,C0004096,,GEO,RNA-Seq,Homo sapiens,4|5,"DO:A bronchial disease that is characterized by chronic inflammation and narrowing of the airways, which is caused by a combination of environmental and genetic factors. The disease has_symptom recurring periods of wheezing (a whistling sound while breathing), has_symptom chest tightness, has_symptom shortness of breath, has_symptom mucus production and has_symptom coughing."
DSA00075,GSE197392,GPL19057,151,Type 2 Diabetes,C0011860,Adductor muscle,GEO,RNA-Seq,Mus musculus,3|3,"DO:A diabetes mellitus that is characterized by high blood sugar, insulin resistance, and relative lack of insulin."
DSA00076,GSE197392,GPL19057,115,Type 2 Diabetes,C0011860,Adductor muscle,GEO,RNA-Seq,Mus musculus,3|3,"DO:A diabetes mellitus that is characterized by high blood sugar, insulin resistance, and relative lack of insulin."
DSA00077,GSE197392,GPL19057,75,Type 2 Diabetes,C0011860,Adductor muscle,GEO,RNA-Seq,Mus musculus,3|3,"DO:A diabetes mellitus that is characterized by high blood sugar, insulin resistance, and relative lack of insulin."
DSA00078,GSE197392,GPL19057,5,Type 2 Diabetes,C0011860,Adductor muscle,GEO,RNA-Seq,Mus musculus,3|4,"DO:A diabetes mellitus that is characterized by high blood sugar, insulin resistance, and relative lack of insulin."
DSA00079,GSE197392,GPL19057,67,Type 2 Diabetes,C0011860,Gastrocnemius muscle,GEO,RNA-Seq,Mus musculus,3|4,"DO:A diabetes mellitus that is characterized by high blood sugar, insulin resistance, and relative lack of insulin."
DSA00080,GSE197392,GPL19057,16,Type 2 Diabetes,C0011860,Gastrocnemius muscle,GEO,RNA-Seq,Mus musculus,3|3,"DO:A diabetes mellitus that is characterized by high blood sugar, insulin resistance, and relative lack of insulin."
DSA00081,GSE197392,GPL19057,108,Type 2 Diabetes,C0011860,Gastrocnemius muscle,GEO,RNA-Seq,Mus musculus,3|3,"DO:A diabetes mellitus that is characterized by high blood sugar, insulin resistance, and relative lack of insulin."
DSA00082,GSE197392,GPL19057,1,Type 2 Diabetes,C0011860,Gastrocnemius muscle,GEO,RNA-Seq,Mus musculus,3|3,"DO:A diabetes mellitus that is characterized by high blood sugar, insulin resistance, and relative lack of insulin."
DSA00083,GSE9750,GPL96,1000,Cervical Cancer,C4048328,Cervix,GEO,Microarray,Homo sapiens,21|33,DO:A female reproductive organ cancer that is located_in the cervix.
DSA00084,GSE9750,GPL96,1000,Cervical Cancer,C4048328,,GEO,Microarray,Homo sapiens,3|9,DO:A female reproductive organ cancer that is located_in the cervix.
DSA00085,GSE9874,GPL96,0,Atherosclerosis,C0004153,,GEO,Microarray,Homo sapiens,15|13,DO:An artery disease that is characterized by a thickening and hardening of arterial walls in the arteries.
DSA00086,GSE9874,GPL96,0,Atherosclerosis,C0004153,,GEO,Microarray,Homo sapiens,15|14,DO:An artery disease that is characterized by a thickening and hardening of arterial walls in the arteries.
DSA00087,GSE9574,GPL96,21,Breast Cancer,C0678222,Breast,GEO,Microarray,Homo sapiens,15|14,DO:A breast cancer that has_material_basis_in abnormally proliferating cells derives_from epithelial cells.
DSA00088,GSE94237,GPL19057,1000,Alopecia Areata,C0002171,Skin,GEO,RNA-Seq,Mus musculus,6|6,DO:An autoimmune disease resulting in the loss of hair on the scalp and elsewhere on the body initially causing bald spots.
DSA00089,GSE69123,GPL13112,20,Type 2 Diabetes,C0011860,Adductor muscle,GEO,RNA-Seq,Mus musculus,6|6,"DO:A diabetes mellitus that is characterized by high blood sugar, insulin resistance, and relative lack of insulin."
DSA00090,GSE69123,GPL13112,6,Type 2 Diabetes,C0011860,Gastrocnemius muscle,GEO,RNA-Seq,Mus musculus,6|5,"DO:A diabetes mellitus that is characterized by high blood sugar, insulin resistance, and relative lack of insulin."
DSA00091,GSE5090,GPL96,0,Polycystic Ovary Syndrome,C0032460,Omental adipose tissue,GEO,Microarray,Homo sapiens,8|9,"DO:An ovarian dysfunction that is characterized by hyperandrogenism, polycystic ovaries, hirsutism, oligomenorrhea or amenorrhea, anovulation and excessive body weight."
DSA00092,GSE6710,GPL96,1000,Psoriasis,C0033860,Skin,GEO,Microarray,Homo sapiens,13|12,DO:A skin disease that is characterized by patches of thick red skin and silvery scales.
DSA00093,GSE136757,GPL570,1000,Psoriasis,C0033860,Skin,GEO,Microarray,Homo sapiens,30|30,DO:A skin disease that is characterized by patches of thick red skin and silvery scales.
DSA00094,GSE136757,GPL570,1000,Psoriasis,C0033860,Skin,GEO,Microarray,Homo sapiens,30|25,DO:A skin disease that is characterized by patches of thick red skin and silvery scales.
DSA00095,GSE214701,GPL24247,7,Brain Damage,C0006109,Hippocampus,GEO,RNA-Seq,Mus musculus,3|3,MONDO:Chronic form of encephalitis.
DSA00096,GSE202010,GPL24247,1000,Polycystic Liver Disease,C0158683,,GEO,RNA-Seq,Mus musculus,3|3,MONDO:An autosomal dominant inherited condition characterized by many cysts of various sizes scattered throughout the liver.
DSA00097,GSE202010,GPL24247,1000,Polycystic Liver Disease,C0158683,,GEO,RNA-Seq,Mus musculus,3|3,MONDO:An autosomal dominant inherited condition characterized by many cysts of various sizes scattered throughout the liver.
DSA00098,GSE202010,GPL24247,1000,Polycystic Liver Disease,C0158683,,GEO,RNA-Seq,Mus musculus,3|3,MONDO:An autosomal dominant inherited condition characterized by many cysts of various sizes scattered throughout the liver.
DSA00099,GSE184986,GPL24247,1000,Myocardial Infarction,C0027051,,GEO,RNA-Seq,Mus musculus,2|4,DO:A coronary artery disease characterized by myocardial cell death (myocardial necrosis) due to prolonged ischaemia.
DSA00100,GSE222095,GPL19057,1000,Pancreatic Cancer,C0235974,Spleen,GEO,RNA-Seq,Mus musculus,3|3,DO:An endocrine gland cancer located_in the pancreas.
DSA00101,GSE222095,GPL19057,1000,Pancreatic Cancer,C0235974,Spleen,GEO,RNA-Seq,Mus musculus,3|3,DO:An endocrine gland cancer located_in the pancreas.
DSA00102,GSE222095,GPL19057,1000,Pancreatic Cancer,C0235974,Spleen,GEO,RNA-Seq,Mus musculus,3|3,DO:An endocrine gland cancer located_in the pancreas.
DSA00103,GSE222095,GPL19057,1000,Pancreatic Cancer,C0235974,Spleen,GEO,RNA-Seq,Mus musculus,3|3,DO:An endocrine gland cancer located_in the pancreas.
DSA00104,GSE218618,GPL18573,1000,Conjunctival Melanoma,C0346360,,GEO,RNA-Seq,Homo sapiens,8|10,EFO:A malignant melanoma within the conjunctiva of the eye.
DSA00105,GSE217798,GPL16791,1000,Renal Cell Carcinoma,C0007134,,GEO,RNA-Seq,Homo sapiens,6|6,DO:A renal carcinoma that has_material_basis_in the lining of the proximal convoluted renal tubule of the kidney.
DSA00106,GSE217430,GPL17021,43,Alzheimer's Disease,C0002395,Hippocampus,GEO,RNA-Seq,Mus musculus,4|3,"DO:An Alzheimer's disease that has_material_basis_in mutation heterozygous mutation in the APP gene, which encodes the amyloid precursor protein, on chromosome 21q21."
DSA00107,GSE217430,GPL17021,156,Alzheimer's Disease,C0002395,Hippocampus,GEO,RNA-Seq,Mus musculus,4|4,"DO:An Alzheimer's disease that has_material_basis_in mutation heterozygous mutation in the APP gene, which encodes the amyloid precursor protein, on chromosome 21q21."
DSA00108,GSE136757,GPL570,1000,Psoriasis,C0033860,Skin,GEO,Microarray,Homo sapiens,30|20,DO:A skin disease that is characterized by patches of thick red skin and silvery scales.
DSA00109,GSE67223,GPL6244,0,Ovarian Fibroma,C0149951,Ovary,GEO,Microarray,Homo sapiens,3|8,HPO:The presence of a fibroma of the ovary.
DSA00110,GSE195658,GPL17021,1000,Eosinophilic Esophagitis,C0341106,Esophagus,GEO,RNA-Seq,Mus musculus,5|5,DO:An esophagitis characterized by inflammation involving eosinophils located_in esophagus.
DSA00111,GSE183218,GPL20301,1000,Dilated Cardiomyopathy,C0007193,,GEO,RNA-Seq,Homo sapiens,3|3,DO:A dilated cardiomyopathy that has_material_basis_in mutation in the LDB3 gene on chromosome 10q23.2.
DSA00112,GSE183218,GPL20301,1000,Dilated Cardiomyopathy,C0007193,,GEO,RNA-Seq,Homo sapiens,3|3,DO:A dilated cardiomyopathy that has_material_basis_in mutation in the LDB3 gene on chromosome 10q23.2.
DSA00113,GSE183218,GPL20301,1000,Dilated Cardiomyopathy,C0007193,,GEO,RNA-Seq,Homo sapiens,3|3,DO:A dilated cardiomyopathy that has_material_basis_in mutation in the LDB3 gene on chromosome 10q23.2.
DSA00114,GSE67223,GPL6244,0,Ovarian Serous Adenocarcinoma,C1335177,Ovary,GEO,Microarray,Homo sapiens,3|1,DO:An ovary adenocarcinoma that derives_from the lining of a cavity that produces a serum-like fluid (a serous cavity).
DSA00115,GSE211993,GPL28038,1000,Alzheimer's Disease,C0002395,,GEO,RNA-Seq,Homo sapiens,5|5,"DO:An Alzheimer's disease that has_material_basis_in mutation heterozygous mutation in the APP gene, which encodes the amyloid precursor protein, on chromosome 21q21."
DSA00116,GSE211993,GPL28038,1000,Alzheimer's Disease,C0002395,,GEO,RNA-Seq,Homo sapiens,5|4,"DO:An Alzheimer's disease that has_material_basis_in mutation heterozygous mutation in the APP gene, which encodes the amyloid precursor protein, on chromosome 21q21."
DSA00117,GSE211993,GPL28038,1000,Alzheimer's Disease,C0002395,,GEO,RNA-Seq,Homo sapiens,5|5,"DO:An Alzheimer's disease that has_material_basis_in mutation heterozygous mutation in the APP gene, which encodes the amyloid precursor protein, on chromosome 21q21."
DSA00118,GSE211993,GPL28038,1000,Alzheimer's Disease,C0002395,,GEO,RNA-Seq,Homo sapiens,5|5,"DO:An Alzheimer's disease that has_material_basis_in mutation heterozygous mutation in the APP gene, which encodes the amyloid precursor protein, on chromosome 21q21."
DSA00119,GSE203151,GPL21103,1000,Obesity,C0028754,Pancreatic islet,GEO,scRNA-Seq,Mus musculus,1|1,"DO:An overnutrition that is characterized by excess body fat, traditionally defined as an elevated ratio of weight to height (specifically 30 kilograms per meter squared), has_material_basis_in a multifactorial etiology related to excess nutrition intake, decreased caloric utilization, and genetic susceptibility, and possibly medications and certain disorders of metabolism, endocrine function, and mental illness."
DSA00120,GSE202667,GPL20844,1000,Parkinson's Disease,C0030567,,GEO,Microarray,Homo sapiens,30|11,DO:An early-onset Parkinson's diseas that has_material_basis_in homozygous mutation in the DNAJC6 gene on chromosome 1p31.
DSA00121,GSE202667,GPL20844,1000,Parkinson's Disease,C0030567,,GEO,Microarray,Homo sapiens,30|6,DO:An early-onset Parkinson's diseas that has_material_basis_in homozygous mutation in the DNAJC6 gene on chromosome 1p31.
DSA00122,GSE202667,GPL20844,1000,Parkinson's Disease,C0030567,,GEO,Microarray,Homo sapiens,30|12,DO:An early-onset Parkinson's diseas that has_material_basis_in homozygous mutation in the DNAJC6 gene on chromosome 1p31.
