"study ID","Disease Name","Tissue/Cell Type","Data Source","Data Type","Organism","# DEGs"
"DSA00346","Atopic Dermatitis","Skin","GEO","Microarray","Homo sapiens","1000"
"DSA00347","Atopic Dermatitis","Skin","GEO","Microarray","Homo sapiens","63"
"DSA00354","Systemic-Onset Juvenile Idiopathic Arthritis","Peripheral neutrophils","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00359","Atopic Dermatitis","Skin","GEO","Microarray","Homo sapiens","0"
"DSA00369","Systemic Juvenile Idiopathic Arthritis","Monocytes","GEO","RNA-Seq","Homo sapiens","2"
"DSA00370","Systemic Juvenile Idiopathic Arthritis","Monocytes","GEO","RNA-Seq","Homo sapiens","31"
"DSA00371","Systemic Juvenile Idiopathic Arthritis","Monocytes","GEO","RNA-Seq","Homo sapiens","15"
"DSA00381","Systemic Lupus Erythematosus","CD4 T cell","GEO","Microarray","Homo sapiens","1000"
"DSA00435","Type 1 Diabetes","Peripheral blood mononuclear cells (PBMCs)","GEO","Microarray","Homo sapiens","0"
"DSA00439","Lymphoma","Spleen","GEO","RNA-Seq","Mus musculus","1000"
"DSA00443","Type 1 Diabetes","Pancreatic islet","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00459","Asthma","Primary bronchial epithelial cells","GEO","RNA-Seq","Homo sapiens","492"
"DSA00460","Asthma","Primary bronchial epithelial cells","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00492","Atopic Dermatitis","Skin","GEO","Microarray","Homo sapiens","1000"
"DSA00493","Atopic Dermatitis","Skin","GEO","Microarray","Homo sapiens","1000"
"DSA00494","Atopic Dermatitis","Skin","GEO","Microarray","Homo sapiens","1000"
"DSA00495","Atopic Dermatitis","Skin","GEO","Microarray","Homo sapiens","877"
"DSA00496","Rheumatoid Arthritis","Bone","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00497","Follicular Lymphoma","Lymph node","GEO","Microarray","Homo sapiens","1000"
"DSA00498","Follicular Lymphoma","Lymph node","GEO","Microarray","Homo sapiens","772"
"DSA00517","Wiskott-Aldrich Syndrome","Macrophages","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00518","Wiskott-Aldrich Syndrome","B cells","GEO","RNA-Seq","Homo sapiens","731"
"DSA00519","Wiskott-Aldrich Syndrome","T cells","GEO","RNA-Seq","Homo sapiens","910"
"DSA00532","Membranous Nephropathy","Kidney","GEO","Microarray","Homo sapiens","1000"
"DSA00539","Asthma","Lung","GEO","Microarray","Mus musculus","0"
"DSA00540","Asthma","Lung","GEO","Microarray","Mus musculus","1000"
"DSA00541","Asthma","Lung","GEO","Microarray","Mus musculus","1000"
"DSA00576","Lymphoblastic Lymphoma","Rectal mucosa","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00579","Lupus Erythematosus","Skin","GEO","Microarray","Homo sapiens","385"
"DSA00596","Allergic Asthma","Lung","GEO","Microarray","Mus musculus","798"
"DSA00597","Allergic Asthma","Lung","GEO","Microarray","Mus musculus","783"
"DSA00611","Rheumatoid Arthritis","Blood","GEO","Microarray","Homo sapiens","1000"
"DSA00612","Systemic Lupus Erythematosus","Blood","GEO","Microarray","Homo sapiens","515"
"DSA00613","Systemic Lupus Erythematosus","Blood","GEO","Microarray","Homo sapiens","895"
"DSA00614","Systemic Lupus Erythematosus","Blood","GEO","Microarray","Homo sapiens","496"
"DSA00625","Systemic Lupus Erythematosus","Peripheral blood","GEO","Microarray","Homo sapiens","0"
"DSA00627","Asthma","Blood","GEO","Microarray","Homo sapiens","0"
"DSA00628","Asthma","Blood","GEO","Microarray","Homo sapiens","0"
"DSA00632","Systemic Lupus Erythematosus","Blood","GEO","RNA-Seq","Homo sapiens","221"
"DSA00633","Systemic Lupus Erythematosus","Blood","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00644","Juvenile Idiopathic Arthritis","Neutrophils","GEO","Microarray","Homo sapiens","1"
"DSA00645","Juvenile Idiopathic Arthritis","Neutrophils","GEO","Microarray","Homo sapiens","0"
"DSA00646","Type 1 Diabetes","Neutrophils","GEO","RNA-Seq","Homo sapiens","331"
"DSA00647","Type 1 Diabetes","Neutrophils","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00656","Rheumatoid Arthritis","CD19+ CD11c- IgD- CD38- Memory B cells","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00657","Rheumatoid Arthritis","CD19+ CD11c- IgD- CD38int Memory B cells","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00658","Rheumatoid Arthritis","CD19+ CD11c- IgD+ CD38int Naive B cells","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00659","Rheumatoid Arthritis","CD19+ CD11chi IgD- CD38- B cells","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00701","Multiple Sclerosis","Brain","GEO","RNA-Seq","Homo sapiens","32"
"DSA00702","Multiple Sclerosis","Brain","GEO","RNA-Seq","Homo sapiens","72"
"DSA00707","Oligoarticular Juvenile Idiopathic Arthritis","Blood","GEO","RNA-Seq","Homo sapiens","534"
"DSA00708","Polyarticular Juvenile Idiopathic Arthritis","Blood","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00709","Systemic Juvenile Idiopathic Arthritis","Blood","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00713","Systemic Lupus Erythematosus","Blood","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00717","Asthma","Macrophages","GEO","Microarray","Homo sapiens","0"
"DSA00721","Type 1 Diabetes","Peripheral blood","GEO","RNA-Seq","Homo sapiens","0"
"DSA00722","Type 1 Diabetes","Peripheral blood","GEO","RNA-Seq","Homo sapiens","3"
"DSA00739","Lupus Nephritis","Kidney","GEO","Microarray","Homo sapiens","1000"
"DSA00742","Cutaneous T Cell Lymphoma","Skin","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00744","Multiple Myeloma","Bone marrow","GEO","Microarray","Homo sapiens","0"
"DSA00745","Eosinophilic Esophagitis","Esophagus","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00746","Lupus Nephritis","Kidney","GEO","Microarray","Homo sapiens","153"
"DSA00747","Lupus Nephritis","Kidney","GEO","Microarray","Homo sapiens","193"
"DSA00748","Chronic Lymphocytic Leukemia","Peripheral blood","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00749","Chronic Lymphocytic Leukemia","Peripheral blood","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00766","IgA Nephropathy","Peripheral blood mononuclear cells (PBMCs)","GEO","Microarray","Homo sapiens","0"
"DSA00783","Systemic Lupus Erythematosus","Peripheral blood mononuclear cells (PBMCs)","GEO","Microarray","Homo sapiens","4"
"DSA00785","Multiple Sclerosis","Whole blood","GEO","RNA-Seq","Homo sapiens","28"
"DSA00792","Type 1 Diabetes","CD4+ BDC-2.5 Teff cells","GEO","RNA-Seq","Mus musculus","1000"
"DSA00798","Multiple Sclerosis","Subcortical white matter","GEO","Microarray","Homo sapiens","0"
"DSA00806","Experimental Autoimmune Encephalomyelitis","Colon","GEO","RNA-Seq","Mus musculus","1000"
"DSA00824","Primary Sjogren Syndrome","Salivary gland","GEO","Microarray","Homo sapiens","3"
"DSA00825","Asthma","Venous blood","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00826","Asthma","Venous blood","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00827","Asthma","Venous blood","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00844","T-Cell Acute Lymphoblastic Leukemia","Thymus","GEO","RNA-Seq","Mus musculus","1000"
"DSA00856","Cutaneous T Cell Lymphoma","Skin","GEO","scRNA-Seq","Homo sapiens","1000"
"DSA00918","Acute Lymphoblastic Leukemia","Bone marrow","GEO","scRNA-Seq","Homo sapiens","1000"
"DSA00958","Type 1 Diabetes","Whole blood","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00971","Allergic Contact Dermatitis","Skin","GEO","Microarray","Mus musculus","1000"
"DSA00972","Allergic Contact Dermatitis","Skin","GEO","Microarray","Mus musculus","1000"
"DSA00973","Allergic Asthma","Peripheral blood mononuclear cells (PBMCs)","GEO","Microarray","Homo sapiens","0"
"DSA00974","Allergic Asthma","Whole blood","GEO","Microarray","Homo sapiens","1"
"DSA00979","Lymphoma","Bone marrow","GEO","Microarray","Mus musculus","1000"
"DSA00985","Acute Lymphoblastic Leukemia","Null","GEO","scRNA-Seq","Homo sapiens","1000"
"DSA00986","Acute Lymphoblastic Leukemia","Null","GEO","scRNA-Seq","Homo sapiens","1000"
"DSA00987","Acute Lymphoblastic Leukemia","Pre-T acute lymphoblastic leukemia cells","GEO","scRNA-Seq","Homo sapiens","1000"
"DSA00988","Peripheral T-Cell Lymphoma","T-Cells","GEO","Microarray","Homo sapiens","1000"
"DSA00993","Allergic Asthma","Null","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00994","Allergic Asthma","Null","GEO","RNA-Seq","Homo sapiens","0"
"DSA01003","Drug Hypersensitivity Syndrome","Peripheral blood mononuclear cells (PBMCs)","GEO","scRNA-Seq","Homo sapiens","1000"
"DSA01004","Drug Hypersensitivity Syndrome","Skin","GEO","scRNA-Seq","Homo sapiens","1000"
"DSA01024","Systemic Lupus Erythematosus","Null","GEO","RNA-Seq","Homo sapiens","525"
"DSA01025","Systemic Lupus Erythematosus","Null","GEO","RNA-Seq","Homo sapiens","1000"
"DSA01026","Multiple Myeloma","Adipose tissue","GEO","Microarray","Homo sapiens","351"
"DSA01080","Intestinal Graft Versus Host Disease","Colon","GEO","RNA-Seq","Homo sapiens","1000"
"DSA01088","Pemphigus","Mononuclear cells","GEO","Microarray","Homo sapiens","0"
"DSA01089","Juvenile Idiopathic Arthritis","Peripheral blood mononuclear cells (PBMCs)","GEO","Microarray","Homo sapiens","13"
"DSA01090","Juvenile Idiopathic Arthritis","Peripheral blood mononuclear cells (PBMCs)","GEO","Microarray","Homo sapiens","183"
"DSA01091","Juvenile Idiopathic Arthritis","Peripheral blood mononuclear cells (PBMCs)","GEO","Microarray","Homo sapiens","49"
"DSA01092","Juvenile Idiopathic Arthritis","Peripheral blood mononuclear cells (PBMCs)","GEO","Microarray","Homo sapiens","1000"
"DSA01102","Experimental Autoimmune Encephalomyelitis","Spinal cord","GEO","RNA-Seq","Mus musculus","1000"
"DSA01115","Multiple Sclerosis","Motor cortex","GEO","Microarray","Homo sapiens","1000"
"DSA01116","Multiple Sclerosis","Motor cortex","GEO","Microarray","Homo sapiens","1000"
"DSA01127","Primary Sjogren Syndrome","Plasmacytoid dendritic cells","GEO","RNA-Seq","Homo sapiens","360"
"DSA01128","Primary Sjogren Syndrome","Plasmacytoid dendritic cells","GEO","RNA-Seq","Homo sapiens","19"
"DSA01129","Aicardi Goutieres Syndrome","Skin","GEO","Microarray","Homo sapiens","314"
"DSA01136","Myeloma","Endothelial cells","GEO","RNA-Seq","Mus musculus","367"
"DSA01137","Myeloma","Endothelial cells","GEO","RNA-Seq","Mus musculus","282"
"DSA01138","Myeloma","Endothelial cells","GEO","RNA-Seq","Mus musculus","352"
"DSA01145","Autoimmune Lymphoproliferative Syndrome","Blood Peripheral blood mononuclear cells (PBMCs)","GEO","Microarray","Homo sapiens","0"
"DSA01148","Autoimmune Lymphoproliferative Syndrome","Blood Peripheral blood mononuclear cells (PBMCs)","GEO","Microarray","Homo sapiens","0"
"DSA01151","Latent Autoimmune Diabetes In Adults","Peripheral blood mononuclear cells (PBMCs)","GEO","RNA-Seq","Homo sapiens","90"
"DSA01156","Sjogren's Syndrome","Saliva","GEO","Microarray","Homo sapiens","9"
"DSA01175","Asthma","Bronchoalveolar lavage cells","GEO","RNA-Seq","Homo sapiens","1"
"DSA01176","Asthma","Bronchoalveolar lavage cells","GEO","RNA-Seq","Homo sapiens","15"
"DSA01180","Systemic Lupus Erythematosus","CDC2_CD5+","GEO","RNA-Seq","Homo sapiens","134"
"DSA01181","Systemic Lupus Erythematosus","CDC2_CD5-CD163+CD14-","GEO","RNA-Seq","Homo sapiens","108"
"DSA01182","Systemic Lupus Erythematosus","CDC2_CD5+","GEO","RNA-Seq","Homo sapiens","76"
"DSA01187","Systemic Juvenile Idiopathic Arthritis","Peripheral blood mononuclear cells (PBMCs)","GEO","Microarray","Homo sapiens","1000"
"DSA01224","Multiple Sclerosis","CD14+ monocytes","GEO","RNA-Seq","Homo sapiens","1000"
"DSA01225","Multiple Sclerosis","CD4+ T cells","GEO","RNA-Seq","Homo sapiens","1000"
"DSA01226","Multiple Sclerosis","CD8+ T cells","GEO","RNA-Seq","Homo sapiens","150"
"DSA01230","Asthma","Sputum","GEO","Microarray","Homo sapiens","240"
"DSA01231","Asthma","Sputum","GEO","Microarray","Homo sapiens","574"
"DSA01249","Systemic Lupus Erythematosus","T cells","GEO","RNA-Seq","Homo sapiens","35"
"DSA01250","Systemic Lupus Erythematosus","T cells","GEO","RNA-Seq","Homo sapiens","368"
"DSA01251","Systemic Lupus Erythematosus","PMN","GEO","RNA-Seq","Homo sapiens","407"
"DSA01252","Systemic Lupus Erythematosus","CDC","GEO","RNA-Seq","Homo sapiens","933"
"DSA01253","Systemic Lupus Erythematosus","PDC","GEO","RNA-Seq","Homo sapiens","1000"
"DSA01254","Systemic Lupus Erythematosus","PDC","GEO","RNA-Seq","Homo sapiens","121"
"DSA01256","Experimental Autoimmune Encephalomyelitis","Central nervous system","GEO","RNA-Seq","Mus musculus","1000"
"DSA01257","Experimental Autoimmune Encephalomyelitis","Central nervous system","GEO","RNA-Seq","Mus musculus","1000"
"DSA01267","Autosomal Dominant Hyper-Ige Syndrome","EBV-B cells","GEO","RNA-Seq","Homo sapiens","74"
"DSA01293","Relapsing-Remitting Multiple Sclerosis","Whole blood","GEO","RNA-Seq","Homo sapiens","1000"
"DSA01294","Relapsing-Remitting Multiple Sclerosis","Whole blood","GEO","RNA-Seq","Homo sapiens","1000"
"DSA01316","Adult-Onset Still Disease","Neutrophils","GEO","RNA-Seq","Homo sapiens","1000"
"DSA01324","Secondary Progressive Multiple Sclerosis","Primary MnS","GEO","Microarray","Homo sapiens","733"
"DSA01336","Acute Lymphoblastic Leukemia","Blood","GEO","RNA-Seq","Homo sapiens","104"
"DSA01339","Rheumatoid Arthritis","CD1c+ cells from Peripheral blood mononuclear cells (PBMCs)s","GEO","RNA-Seq","Homo sapiens","56"
"DSA01344","Asthma","Nasal airway epithelium","GEO","RNA-Seq","Homo sapiens","1000"
"DSA01349","Ataxia Telangiectasia","Cerebellum","GEO","Microarray","Mus musculus","0"
"DSA01350","Ataxia Telangiectasia","Cerebellum","GEO","Microarray","Mus musculus","7"
"DSA01351","Ataxia Telangiectasia","Fibroblasts","GEO","Microarray","Homo sapiens","0"
"DSA01375","Nonallergic Asthma","Peripheral blood","GEO","Microarray","Homo sapiens","0"
"DSA01376","Allergic Asthma","Peripheral blood","GEO","Microarray","Homo sapiens","48"
"DSA01383","Lupus Nephritis","Kidney","GEO","RNA-Seq","Mus musculus","1000"
"DSA01401","Systemic Lupus Erythematosus","Blood","GEO","RNA-Seq","Homo sapiens","1000"
"DSA01490","Multiple Myeloma","Bone marrow","GEO","Microarray","Homo sapiens","1000"
"DSA01491","Plasma Cell Leukemia","Bone marrow","GEO","Microarray","Homo sapiens","1000"
"DSA01502","Atopic Dermatitis","Blood","GEO","Microarray","Homo sapiens","317"
"DSA01513","Rheumatoid Arthritis","Blood","GEO","RNA-Seq","Homo sapiens","368"
"DSA01521","Asthma","Peripheral blood","GEO","RNA-Seq","Homo sapiens","1000"
"DSA01522","Asthma","Peripheral blood","GEO","RNA-Seq","Homo sapiens","8"
"DSA01539","Asthma","Tracheobronchial","GEO","RNA-Seq","Homo sapiens","219"
"DSA01540","Asthma","Tracheobronchial","GEO","RNA-Seq","Homo sapiens","185"
"DSA01541","Asthma","Tracheobronchial","GEO","RNA-Seq","Homo sapiens","148"
"DSA01542","Asthma","Tracheobronchial","GEO","RNA-Seq","Homo sapiens","302"
"DSA01561","Rheumatoid Arthritis","Blood","GEO","RNA-Seq","Homo sapiens","1000"
"DSA01566","Multiple Sclerosis","Peripheral blood","GEO","Microarray","Homo sapiens","0"
"DSA01571","Allergic Rhinitis","Nasal","GEO","Microarray","Homo sapiens","0"
"DSA01572","Systemic Lupus Erythematosus","Circulating B cells","GEO","RNA-Seq","Homo sapiens","1000"
"DSA01576","Acute Lymphoblastic Leukemia","Bone marrow","GEO","RNA-Seq","Mus musculus","831"
"DSA01577","Acute Lymphoblastic Leukemia","Bone marrow","GEO","RNA-Seq","Mus musculus","1000"
"DSA01593","Rheumatoid Arthritis","Blood","GEO","RNA-Seq","Homo sapiens","8"
"DSA01594","Rheumatoid Arthritis","Blood","GEO","RNA-Seq","Homo sapiens","17"
"DSA01595","Rheumatoid Arthritis","Blood","GEO","RNA-Seq","Homo sapiens","40"
"DSA01596","Rheumatoid Arthritis","Blood","GEO","RNA-Seq","Homo sapiens","0"
"DSA01597","Rheumatoid Arthritis","Blood","GEO","RNA-Seq","Homo sapiens","400"
"DSA01598","Rheumatoid Arthritis","Blood","GEO","RNA-Seq","Homo sapiens","146"
"DSA01599","Rheumatoid Arthritis","Blood","GEO","RNA-Seq","Homo sapiens","6"
"DSA01605","Chronic Lymphocytic Leukemia","Peripheral blood","GEO","RNA-Seq","Homo sapiens","1000"
"DSA01606","Granulomatosis With Polyangiitis","Nasal","GEO","Microarray","Homo sapiens","8"
"DSA01613","Multiple Myeloma","Bone marrow","GEO","scRNA-Seq","Homo sapiens","1000"
"DSA01640","Rheumatoid Arthritis","Whole blood","GEO","RNA-Seq","Homo sapiens","1000"
"DSA01651","Asthma","Bronchus","GEO","Microarray","Homo sapiens","1000"
"DSA01652","Severe Asthma","Bronchus","GEO","Microarray","Homo sapiens","0"
"DSA01653","Type 1 Diabetes","Pancreatic islet","GEO","RNA-Seq","Homo sapiens","1000"
"DSA01656","Classical Hodgkin Lymphoma","Null","GEO","RNA-Seq","Homo sapiens","257"
"DSA01664","Asthma","Blood","ArrayExpress","RNA-Seq","Homo sapiens","1000"
"DSA01665","Asthma","Blood","ArrayExpress","RNA-Seq","Homo sapiens","1000"
"DSA01685","Atopic Dermatitis","Dermis","GEO","Microarray","Homo sapiens","1000"
"DSA01686","Atopic Dermatitis","Dermis","GEO","Microarray","Homo sapiens","1000"
"DSA01687","Atopic Dermatitis","Epidermis","GEO","Microarray","Homo sapiens","1000"
"DSA01688","Atopic Dermatitis","Epidermis","GEO","Microarray","Homo sapiens","1000"
"DSA01689","Atopic Dermatitis","Null","GEO","Microarray","Homo sapiens","1000"
"DSA01690","Atopic Dermatitis","Null","GEO","Microarray","Homo sapiens","1000"
"DSA01703","Atopic Dermatitis","Skin","GEO","RNA-Seq","Homo sapiens","1000"
"DSA01725","Rheumatoid Arthritis","Peripheral blood","GEO","Microarray","Homo sapiens","1000"
"DSA01726","Rheumatoid Arthritis","Peripheral blood","GEO","Microarray","Homo sapiens","187"
"DSA01733","Acquired Immunodeficiency Syndrome","Blood plasma","ArrayExpress","RNA-Seq","Homo sapiens","1000"
"DSA01740","Systemic Lupus Erythematosus","Blood","GEO","RNA-Seq","Homo sapiens","1000"
"DSA01742","Systemic Juvenile Idiopathic Arthritis","Neutrophils","GEO","RNA-Seq","Homo sapiens","9"
"DSA01743","Systemic Juvenile Idiopathic Arthritis","Neutrophils","GEO","RNA-Seq","Homo sapiens","2"
"DSA01755","Asthma","CD4+ T cells","GEO","Microarray","Homo sapiens","1000"
"DSA01758","Chronic Lymphocytic Leukemia","CD4+ T cells","GEO","Microarray","Homo sapiens","1000"
"DSA01764","Seasonal Allergic Rhinitis","CD4+ T cells","GEO","Microarray","Homo sapiens","141"
"DSA01765","Type 1 Diabetes","CD4+ T cells","GEO","Microarray","Homo sapiens","19"
"DSA01772","Multiple Sclerosis","Corpus callosum","GEO","RNA-Seq","Homo sapiens","1000"
"DSA01773","Multiple Sclerosis","Frontal cortex","GEO","RNA-Seq","Homo sapiens","15"
"DSA01774","Multiple Sclerosis","Hippocampus","GEO","RNA-Seq","Homo sapiens","74"
"DSA01775","Multiple Sclerosis","Internal capsule","GEO","RNA-Seq","Homo sapiens","90"
"DSA01776","Multiple Sclerosis","Parietal cortex","GEO","RNA-Seq","Homo sapiens","10"
"DSA01779","Type 1 Diabetes","Whole blood","GEO","RNA-Seq","Homo sapiens","400"
"DSA01790","Systemic Lupus Erythematosus","Peripheral blood cells","GEO","Microarray","Homo sapiens","34"
"DSA01813","Multiple Myeloma","Bone marrow","GEO","scRNA-Seq","Homo sapiens","1000"
"DSA01814","Multiple Myeloma","Bone marrow","GEO","scRNA-Seq","Homo sapiens","1000"
"DSA01815","Multiple Myeloma","Bone marrow","GEO","scRNA-Seq","Homo sapiens","1000"
"DSA01816","Multiple Myeloma","Bone marrow","GEO","scRNA-Seq","Homo sapiens","1000"
"DSA01819","Multiple Sclerosis","Lobe","GEO","RNA-Seq","Homo sapiens","1000"
"DSA01836","Atopic Dermatitis","Skin","GEO","Microarray","Homo sapiens","532"
"DSA01840","Systemic Lupus Erythematosus","Keratinocytes","GEO","RNA-Seq","Homo sapiens","43"
"DSA01841","Systemic Lupus Erythematosus","Keratinocytes","GEO","RNA-Seq","Homo sapiens","1000"
"DSA01842","Systemic Lupus Erythematosus","Keratinocytes","GEO","RNA-Seq","Homo sapiens","38"
"DSA01843","Systemic Lupus Erythematosus","Keratinocytes","GEO","RNA-Seq","Homo sapiens","55"
"DSA01844","Systemic Lupus Erythematosus","Keratinocytes","GEO","RNA-Seq","Homo sapiens","34"
"DSA01845","Systemic Lupus Erythematosus","Keratinocytes","GEO","RNA-Seq","Homo sapiens","20"
"DSA01846","Systemic Lupus Erythematosus","Keratinocytes","GEO","RNA-Seq","Homo sapiens","1000"
"DSA01866","Juvenile Idiopathic Arthritis","Peripheral blood mononuclear cells (PBMCs)","GEO","Microarray","Homo sapiens","723"
"DSA01867","Juvenile Idiopathic Arthritis","Null","GEO","Microarray","Homo sapiens","0"
"DSA01868","Juvenile Idiopathic Arthritis","Null","GEO","Microarray","Homo sapiens","170"
"DSA01869","Juvenile Idiopathic Arthritis","Null","GEO","Microarray","Homo sapiens","0"
"DSA01870","Juvenile Idiopathic Arthritis","Null","GEO","Microarray","Homo sapiens","1000"
"DSA01871","Juvenile Idiopathic Arthritis","Null","GEO","Microarray","Homo sapiens","451"
"DSA01882","Multiple Sclerosis","Peripheral blood mononuclear cells (PBMCs)","GEO","Microarray","Homo sapiens","1000"
"DSA01884","Allergic Asthma","Alveolar macrophages","GEO","Microarray","Homo sapiens","0"
"DSA01886","Sjogren's Syndrome","Minor salivary gland","GEO","Microarray","Homo sapiens","0"
"DSA01887","Sjogren's Syndrome","Minor salivary gland","GEO","Microarray","Homo sapiens","0"
"DSA01888","Sjogren's Syndrome","Minor salivary gland","GEO","Microarray","Homo sapiens","787"
"DSA01889","Progressive Sjogren's Syndrome","Minor salivary gland","GEO","Microarray","Homo sapiens","22"
"DSA01891","Multiple Sclerosis","Peripheral blood mononuclear cells (PBMCs)","GEO","Microarray","Homo sapiens","0"
"DSA01923","Hodgkin Lymphoma","CD3+ T cells","GEO","Microarray","Homo sapiens","0"
"DSA01925","Chronic Lymphocytic Leukemia","Peripheral blood","GEO","Microarray","Homo sapiens","1000"
"DSA01927","Atopic Dermatitis","Epidermis","GEO","Microarray","Homo sapiens","2"
"DSA01929","Asthma","White blood cells","GEO","Microarray","Homo sapiens","211"
"DSA01930","Asthma","White blood cells","GEO","Microarray","Homo sapiens","170"
"DSA01931","Severe Asthma","White blood cells","GEO","Microarray","Homo sapiens","701"
"DSA01952","Systemic Lupus Erythematosus","B cells","GEO","Microarray","Homo sapiens","0"
