"study ID","Disease Name","Tissue/Cell Type","Data Source","Data Type","Organism","# DEGs"
"DSA00480","Amyotrophic Lateral Sclerosis","Spinal cord","GEO","RNA-Seq","Mus musculus","1000"
"DSA00537","Hutchinson-Gilford Progeria Syndrome","IPSC","GEO","Microarray","Homo sapiens","1000"
"DSA00538","Hutchinson-Gilford Progeria Syndrome","IPSC","GEO","Microarray","Homo sapiens","1000"
"DSA00620","Frontotemporal Dementia","Choroid plexus","GEO","Microarray","Homo sapiens","1"
"DSA00630","Obesity","Blood","GEO","Microarray","Homo sapiens","3"
"DSA00646","Type 1 Diabetes","Neutrophils","GEO","RNA-Seq","Homo sapiens","331"
"DSA00647","Type 1 Diabetes","Neutrophils","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00694","Mucopolysaccharidosis Type I","Cell type: iPSC derived neural stem cells","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00695","Mucopolysaccharidosis Type I","Cell type: iPSC derived neural stem cells","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00696","Mucopolysaccharidosis Type I","Cell type: iPSC derived neural stem cells","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00721","Type 1 Diabetes","Peripheral blood","GEO","RNA-Seq","Homo sapiens","0"
"DSA00722","Type 1 Diabetes","Peripheral blood","GEO","RNA-Seq","Homo sapiens","3"
"DSA00727","Metabolic Syndrome","Adipose tissue","GEO","Microarray","Mus musculus","1000"
"DSA00728","Metabolic Syndrome","Adipose tissue","GEO","Microarray","Mus musculus","1000"
"DSA00729","Metabolic Syndrome","Adipose tissue","GEO","Microarray","Mus musculus","1000"
"DSA00730","Metabolic Syndrome","Adipose tissue","GEO","Microarray","Mus musculus","1000"
"DSA00731","Metabolic Syndrome","Adipose tissue","GEO","Microarray","Mus musculus","1000"
"DSA00751","Coeliac Disease","Peripheral blood mononuclear cells (PBMCs)","GEO","Microarray","Homo sapiens","1000"
"DSA00755","Malnutrition","Cortex","GEO","RNA-Seq","Mus musculus","1"
"DSA00782","Obesity","Peripheral MAIT cells","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00784","Hypercholesterolemia","Monocytes","GEO","RNA-Seq","Homo sapiens","48"
"DSA00792","Type 1 Diabetes","CD4+ BDC-2.5 Teff cells","GEO","RNA-Seq","Mus musculus","1000"
"DSA00800","Obesity","Liver","GEO","RNA-Seq","Homo sapiens","243"
"DSA00802","Obesity","Peritoneal macrophages","GEO","RNA-Seq","Mus musculus","324"
"DSA00816","Mitochondrial Myopathy; Encephalopathy; Lactic Acidosis; And Stroke-Like Episodes","Human iPSC derived endothelial cells","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00881","Obesity","Placenta","GEO","RNA-Seq","Mus musculus","0"
"DSA00893","Lowe Syndrome","IPS-derived neural progenitor cells","GEO","RNA-Seq","Homo sapiens","113"
"DSA00898","Obesity","Adipose tissue","GEO","RNA-Seq","Mus musculus","1000"
"DSA00899","Obesity","Adipose tissue","GEO","RNA-Seq","Mus musculus","1000"
"DSA00905","Mitochondrial Myopathy","Muscle","GEO","RNA-Seq","Homo sapiens","135"
"DSA00906","Mitochondrial Myopathy","Muscle","GEO","RNA-Seq","Homo sapiens","147"
"DSA00919","Obesity","White adipose tissue","GEO","RNA-Seq","Mus musculus","236"
"DSA00936","Cockayne Syndrome","Fibroblasts","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00937","Cockayne Syndrome","Fibroblasts","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00953","Hypertriglyceridemia","Liver","GEO","RNA-Seq","Mus musculus","32"
"DSA00958","Type 1 Diabetes","Whole blood","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00961","Coeliac Disease","Duodenum","GEO","RNA-Seq","Homo sapiens","1000"
"DSA00963","Obesity","Visceral adipose tissue","GEO","Microarray","Homo sapiens","0"
"DSA01012","Xeroderma Pigmentosum","Skin fibroblasts","GEO","Microarray","Homo sapiens","2"
"DSA01037","Obesity","Pancreatic islet","GEO","Microarray","Mus musculus","208"
"DSA01047","Dilated Cardiomyopathy With Ataxia","Dermal fibroblasts","GEO","RNA-Seq","Homo sapiens","270"
"DSA01050","Obesity","Oocytes","GEO","RNA-Seq","Mus musculus","920"
"DSA01051","Obesity","Oocytes","GEO","RNA-Seq","Mus musculus","48"
"DSA01059","Type 2 Diabetes","Liver","GEO","Microarray","Mus musculus","0"
"DSA01075","Obesity","Sperm","GEO","RNA-Seq","Homo sapiens","0"
"DSA01076","Obesity","Sperm","GEO","RNA-Seq","Homo sapiens","0"
"DSA01084","Obesity","Liver","GEO","RNA-Seq","Mus musculus","101"
"DSA01085","Obesity","Liver","GEO","RNA-Seq","Mus musculus","350"
"DSA01151","Latent Autoimmune Diabetes In Adults","Peripheral blood mononuclear cells (PBMCs)","GEO","RNA-Seq","Homo sapiens","90"
"DSA01159","Hypoglycemia","Liver","GEO","RNA-Seq","Mus musculus","2"
"DSA01160","Hypoglycemia","Liver","GEO","RNA-Seq","Mus musculus","2"
"DSA01163","Metabolic Syndrome","Vastus lateralis","GEO","Microarray","Homo sapiens","1"
"DSA01185","Familial Hypercholesterolemia","NPC","GEO","Microarray","Mus musculus","17"
"DSA01194","Hutchinson-Gilford Progeria Syndrome","Dermal fibroblasts","GEO","RNA-Seq","Homo sapiens","1000"
"DSA01195","Hutchinson-Gilford Progeria Syndrome","Dermal fibroblasts","GEO","RNA-Seq","Homo sapiens","1000"
"DSA01206","Amyotrophic Lateral Sclerosis","INPC-derived astrocytes","GEO","Microarray","Homo sapiens","0"
"DSA01207","Amyotrophic Lateral Sclerosis","INPC-derived oligodendrocytes","GEO","Microarray","Homo sapiens","13"
"DSA01269","Obesity","White adipose tissue","GEO","Microarray","Homo sapiens","774"
"DSA01286","Obesity","Liver","GEO","RNA-Seq","Mus musculus","1000"
"DSA01287","Obesity","Liver","GEO","RNA-Seq","Mus musculus","1000"
"DSA01290","Hutchinson-Gilford Progeria Syndrome","Fibroblasts","GEO","RNA-Seq","Homo sapiens","486"
"DSA01301","Gestational Diabetes","Amniocytes","GEO","RNA-Seq","Homo sapiens","61"
"DSA01302","Gestational Diabetes","Amniocytes","GEO","RNA-Seq","Homo sapiens","52"
"DSA01317","Obesity","Adipocyte precursor cells","GEO","RNA-Seq","Mus musculus","864"
"DSA01318","Obesity","Fibro-inflammatory progenitors","GEO","RNA-Seq","Mus musculus","375"
"DSA01323","Metabolic Diseases","White adipose tissue","GEO","Microarray","Mus musculus","1000"
"DSA01335","Obesity","Adipose stem cell-derived hepatocyte-like cells","GEO","RNA-Seq","Homo sapiens","78"
"DSA01349","Ataxia Telangiectasia","Cerebellum","GEO","Microarray","Mus musculus","0"
"DSA01350","Ataxia Telangiectasia","Cerebellum","GEO","Microarray","Mus musculus","7"
"DSA01351","Ataxia Telangiectasia","Fibroblasts","GEO","Microarray","Homo sapiens","0"
"DSA01361","Metabolic Diseases","Breast cancer cell line","GEO","RNA-Seq","Homo sapiens","1000"
"DSA01369","Leigh Syndrome","IPSC-derived brain organoids","GEO","RNA-Seq","Homo sapiens","1000"
"DSA01377","Type 2 Diabetes","Whole blood","GEO","RNA-Seq","Homo sapiens","1000"
"DSA01378","Type 2 Diabetes","Whole blood","GEO","RNA-Seq","Homo sapiens","1000"
"DSA01405","Prediabetes","Peripheral blood","GEO","Microarray","Homo sapiens","0"
"DSA01417","Hutchinson-Gilford Progeria Syndrome","Skin","GEO","RNA-Seq","Homo sapiens","1000"
"DSA01469","Amyotrophic Lateral Sclerosis","Peripheral blood mononuclear cells (PBMCs)","GEO","RNA-Seq","Homo sapiens","1000"
"DSA01470","Amyotrophic Lateral Sclerosis","Peripheral blood mononuclear cells (PBMCs)","GEO","RNA-Seq","Homo sapiens","1000"
"DSA01471","Amyotrophic Lateral Sclerosis","Peripheral blood mononuclear cells (PBMCs)","GEO","RNA-Seq","Homo sapiens","237"
"DSA01472","Amyotrophic Lateral Sclerosis","Peripheral blood mononuclear cells (PBMCs)","GEO","RNA-Seq","Homo sapiens","40"
"DSA01473","Amyotrophic Lateral Sclerosis","Peripheral blood mononuclear cells (PBMCs)","GEO","RNA-Seq","Homo sapiens","72"
"DSA01495","Werner Syndrome","Fibroblasts","GEO","Microarray","Homo sapiens","1000"
"DSA01496","Werner Syndrome","IPSC","GEO","Microarray","Homo sapiens","1000"
"DSA01501","Alexander Disease","Brain","GEO","RNA-Seq","Homo sapiens","1000"
"DSA01547","Adrenomyeloneuropathy","Fibroblasts","GEO","Microarray","Homo sapiens","0"
"DSA01548","Cerebral Adrenoleukodystrophy","Fibroblasts","GEO","Microarray","Homo sapiens","25"
"DSA01549","Adrenomyeloneuropathy","Fibroblasts","GEO","Microarray","Homo sapiens","0"
"DSA01550","Cerebral Adrenoleukodystrophy","Fibroblasts","GEO","Microarray","Homo sapiens","0"
"DSA01551","Adrenomyeloneuropathy","Fibroblasts","GEO","Microarray","Homo sapiens","0"
"DSA01552","Cerebral Adrenoleukodystrophy","Fibroblasts","GEO","Microarray","Homo sapiens","0"
"DSA01553","Adrenomyeloneuropathy","Fibroblasts","GEO","Microarray","Homo sapiens","0"
"DSA01554","Cerebral Adrenoleukodystrophy","Fibroblasts","GEO","Microarray","Homo sapiens","20"
"DSA01590","Hutchinson-Gilford Progeria Syndrome","Skin","GEO","RNA-Seq","Homo sapiens","164"
"DSA01620","Xeroderma Pigmentosum","Skin","GEO","RNA-Seq","Homo sapiens","1000"
"DSA01653","Type 1 Diabetes","Pancreatic islet","GEO","RNA-Seq","Homo sapiens","1000"
"DSA01682","Methylmalonic Acidemia","Kidney","GEO","Microarray","Homo sapiens","3"
"DSA01692","Obesity","Epididymal white adipose tissue","GEO","RNA-Seq","Mus musculus","1000"
"DSA01718","Hemochromatosis","Peripheral blood","GEO","Microarray","Homo sapiens","0"
"DSA01731","Amyotrophic Lateral Sclerosis","Skeletal muscle","GEO","Microarray","Homo sapiens","1000"
"DSA01737","Amyotrophic Lateral Sclerosis","Central nervous system","ArrayExpress","RNA-Seq","Homo sapiens","502"
"DSA01739","Amyotrophic Lateral Sclerosis","Central nervous system","ArrayExpress","RNA-Seq","Homo sapiens","1000"
"DSA01745","Amyotrophic Lateral Sclerosis","Motor cortex","GEO","RNA-Seq","Homo sapiens","720"
"DSA01754","Amyotrophic Lateral Sclerosis","Central nervous system","ArrayExpress","RNA-Seq","Homo sapiens","637"
"DSA01762","Obesity","CD4+ T cells","GEO","Microarray","Homo sapiens","3"
"DSA01765","Type 1 Diabetes","CD4+ T cells","GEO","Microarray","Homo sapiens","19"
"DSA01779","Type 1 Diabetes","Whole blood","GEO","RNA-Seq","Homo sapiens","400"
"DSA01810","Gaucher Disease","Skin","GEO","Microarray","Homo sapiens","619"
"DSA01811","Niemann-Pick Disease","Skin","GEO","Microarray","Homo sapiens","1000"
"DSA01821","Amyotrophic Lateral Sclerosis","Frontal cortex","GEO","RNA-Seq","Homo sapiens","834"
"DSA01822","Amyotrophic Lateral Sclerosis","Motor cortex","GEO","RNA-Seq","Homo sapiens","51"
"DSA01823","Hutchinson-Gilford Progeria Syndrome","Fibroblast","GEO","Microarray","Homo sapiens","1000"
"DSA01849","Obesity","Liver","GEO","Microarray","Mus musculus","137"
"DSA01982","Hutchinson-Gilford Progeria Syndrome","Liver","GEO","Microarray","Mus musculus","1000"
"DSA01989","Amyotrophic Lateral Sclerosis","Oculomotor nucleus","GEO","Microarray","Mus musculus","0"
"DSA01990","Amyotrophic Lateral Sclerosis","Spinal cord","GEO","Microarray","Mus musculus","0"
"DSA02002","Cerebral Adrenoleukodystrophy","Dermal fibroblast","GEO","Microarray","Homo sapiens","10"
"DSA02003","Cerebral Adrenoleukodystrophy","Dermal fibroblast","GEO","Microarray","Homo sapiens","0"
"DSA02004","Cerebral Adrenoleukodystrophy","IPSC","GEO","Microarray","Homo sapiens","5"
"DSA02017","Type 2 Diabetes","Vastus lateralis","GEO","Microarray","Homo sapiens","0"
"DSA02033","Pompe Disease","Biceps","GEO","Microarray","Homo sapiens","1000"
"DSA02039","Niemann-Pick Disease Type C","Brain","GEO","Microarray","Mus musculus","167"
"DSA02045","Methylmalonic Acidemia","Kidney","GEO","Microarray","Mus musculus","1000"
"DSA02143","Wilson Disease","Liver","GEO","Microarray","Mus musculus","59"
"DSA02168","Familial Hypercholesterolemia","T cell","GEO","Microarray","Homo sapiens","0"
"DSA02169","Familial Hypercholesterolemia","T cell","GEO","Microarray","Homo sapiens","0"
"DSA02178","Infantile Krabbe Disease","Breast","GEO","Microarray","Mus musculus","1000"
"DSA02207","Northern Epilepsy Syndrome","Null","GEO","Microarray","Homo sapiens","6"
"DSA02254","Familial Combined Hyperlipidemia","Blood","GEO","Microarray","Homo sapiens","0"
"DSA02259","Amyotrophic Lateral Sclerosis","Spinal cord","GEO","Microarray","Mus musculus","0"
"DSA02260","Amyotrophic Lateral Sclerosis","Spinal cord","GEO","Microarray","Mus musculus","0"
"DSA02261","Amyotrophic Lateral Sclerosis","Spinal cord","GEO","Microarray","Mus musculus","0"
"DSA02262","Familial Combined Hyperlipidemia","Lymphoblastic cell","GEO","Microarray","Homo sapiens","0"
"DSA02271","Hypercholesterolemia","Liver","GEO","Microarray","Mus musculus","1000"
"DSA02275","Familial Hypercholesterolemia","Monocyte","GEO","Microarray","Homo sapiens","32"
"DSA02276","Familial Hypercholesterolemia","Monocyte","GEO","Microarray","Homo sapiens","11"
"DSA02279","Amyotrophic Lateral Sclerosis","Spinal cord","GEO","Microarray","Mus musculus","1"
"DSA02305","Type 2 Diabetes","Adipose tissue","GEO","Microarray","Mus musculus","0"
"DSA02306","Type 2 Diabetes","Liver","GEO","Microarray","Mus musculus","0"
"DSA02307","Type 2 Diabetes","Soleus","GEO","Microarray","Mus musculus","0"
"DSA02308","Type 2 Diabetes","Pancreatic islet","GEO","Microarray","Mus musculus","0"
"DSA02317","Type 1 Diabetes","Pancreatic islet","GEO","Microarray","Mus musculus","0"
"DSA02318","Type 1 Diabetes","Pancreatic islet","GEO","Microarray","Mus musculus","0"
"DSA02319","Type 1 Diabetes","Pancreatic islet","GEO","Microarray","Mus musculus","1"
"DSA02320","Succinic Semialdehyde Dehydrogenase Deficiency","Brain","GEO","Microarray","Mus musculus","0"
"DSA02321","Succinic Semialdehyde Dehydrogenase Deficiency","Brain","GEO","Microarray","Mus musculus","0"
"DSA02322","Succinic Semialdehyde Dehydrogenase Deficiency","Brain","GEO","Microarray","Mus musculus","1"
"DSA02360","Mitochondrial Encephalomyopathies","Skeletal muscle","GEO","Microarray","Homo sapiens","0"
"DSA02361","Mitochondrial Encephalomyopathies","Skeletal muscle","GEO","Microarray","Homo sapiens","2"
"DSA02362","Mitochondrial Encephalomyopathies","Skeletal muscle","GEO","Microarray","Homo sapiens","0"
"DSA02366","Obesity","Subcutaneous white adipose tissue","GEO","Microarray","Homo sapiens","2"
"DSA02367","Obesity","Hypothalamus","GEO","Microarray","Mus musculus","1"
"DSA02407","Amyotrophic Lateral Sclerosis","Spinal cord","GEO","Microarray","Homo sapiens","15"
"DSA02408","Amyotrophic Lateral Sclerosis","Spinal cord","GEO","Microarray","Homo sapiens","105"
"DSA02513","Obesity","Skeletal muscle","GEO","Microarray","Homo sapiens","0"
"DSA02540","Obesity","Adipose tissue","GEO","Microarray","Mus musculus","1000"
"DSA02550","Type 2 Diabetes","Liver","GEO","Microarray","Homo sapiens","0"
"DSA02552","Type 2 Diabetes","Myotube","GEO","Microarray","Homo sapiens","0"
"DSA02576","Type 1 Diabetes","Pancreas","GEO","Microarray","Mus musculus","844"
"DSA02588","Type 1 Diabetes","Lumbar spinal cord","ArrayExpress","RNA-Seq","Homo sapiens","82"
"DSA02629","AL Amyloidosis","Plasma cells","GEO","RNA-Seq","Homo sapiens","1000"
"DSA02644","Ataxia Telangiectasia","Cerebellum","GEO","RNA-Seq","Homo sapiens","1000"
"DSA02656","Coeliac Disease","Gut","GEO","Microarray","Homo sapiens","1000"
"DSA02657","Coeliac Disease","Peripheral blood mononuclear cells (PBMCs)","GEO","RNA-Seq","Homo sapiens","1000"
"DSA02658","Coeliac Disease","Peripheral blood mononuclear cells (PBMCs)","GEO","RNA-Seq","Homo sapiens","1000"
"DSA02786","Dyslipidemia","Adipose tissue","GEO","scRNA-Seq","Mus musculus","1000"
"DSA02815","Hyperhomocysteinemia","Peripheral blood monocyte","GEO","RNA-Seq","Mus musculus","1000"
"DSA02831","Hyperlactatemia","Blood","ArrayExpress","RNA-Seq","Homo sapiens","271"
"DSA02857","Ketosis-Prone Diabetes (Mellitus)","Induced pluripotent stem cells","GEO","RNA-Seq","Homo sapiens","420"
"DSA02858","Ketosis-Prone Diabetes (Mellitus)","Induced pluripotent stem cells","GEO","RNA-Seq","Homo sapiens","1000"
"DSA02859","Ketosis-Prone Diabetes (Mellitus)","Induced pluripotent stem cells","GEO","RNA-Seq","Homo sapiens","1000"
"DSA02924","Obesity","Adipose tissue","GEO","RNA-Seq","Homo sapiens","26"
"DSA02925","Obesity","Adipose tissue","GEO","RNA-Seq","Homo sapiens","778"
"DSA02926","Obesity","Heart","GEO","RNA-Seq","Mus musculus","8"
"DSA02927","Obesity","Heart","GEO","RNA-Seq","Mus musculus","82"
"DSA02928","Obesity","Heart","GEO","RNA-Seq","Mus musculus","1"
"DSA02929","Obesity","Heart","GEO","RNA-Seq","Mus musculus","165"
"DSA02930","Obesity","Heart","GEO","RNA-Seq","Mus musculus","95"
"DSA02931","Obesity","Heart","GEO","RNA-Seq","Mus musculus","7"
"DSA02943","Amyotrophic Lateral Sclerosis","Callosal sulcus","ArrayExpress","RNA-Seq","Homo sapiens","4"
"DSA02945","Amyotrophic Lateral Sclerosis","Corticospinal tract","ArrayExpress","RNA-Seq","Homo sapiens","789"
"DSA03040","Type 1 Diabetes","Peripheral blood","GEO","Microarray","Homo sapiens","498"
"DSA03076","Nijmegen Breakage Syndrome","Liver","GEO","RNA-Seq","Mus musculus","54"
"DSA03082","Type 2 Diabetes","Artery","GEO","Microarray","Homo sapiens","0"
"DSA03085","Obesity","Vastus lateralis","GEO","RNA-Seq","Homo sapiens","371"
"DSA03149","Severe Combined Immunodeficiency","Induced pluripotent stem cells","GEO","RNA-Seq","Homo sapiens","1000"
"DSA03150","Severe Combined Immunodeficiency","Thymic epithelial progenitor cells","GEO","RNA-Seq","Homo sapiens","1000"
"DSA03174","Obesity","Rectus femoris","GEO","Microarray","Homo sapiens","0"
"DSA03184","Type 2 Diabetes","Liver","GEO","Microarray","Mus musculus","0"
"DSA03185","Type 2 Diabetes","Pancreas","GEO","Microarray","Mus musculus","0"
"DSA03189","Familial Hypercholesterolemia","Blood","GEO","Microarray","Homo sapiens","0"
"DSA03191","Amyotrophic Lateral Sclerosis","IPs derived neurons","GEO","RNA-Seq","Homo sapiens","714"
"DSA03192","Amyotrophic Lateral Sclerosis","IPs derived neurons","GEO","RNA-Seq","Homo sapiens","263"
"DSA03193","Amyotrophic Lateral Sclerosis","IPs derived neurons","GEO","RNA-Seq","Homo sapiens","596"
"DSA03194","Amyotrophic Lateral Sclerosis","IPs derived neurons","GEO","RNA-Seq","Homo sapiens","287"
"DSA03202","Type 2 Diabetes","Muscle","GEO","Microarray","Mus musculus","1"
"DSA03203","Type 2 Diabetes","Adipose tissue","GEO","Microarray","Mus musculus","0"
"DSA03213","Type 1 Diabetes","Kidney","GEO","RNA-Seq","Homo sapiens","1000"
"DSA03214","Type 1 Diabetes","Kidney","GEO","RNA-Seq","Homo sapiens","318"
"DSA03215","Type 1 Diabetes","Kidney","GEO","RNA-Seq","Homo sapiens","0"
"DSA03218","Hutchinson-Gilford Progeria Syndrome","Smooth muscle","GEO","RNA-Seq","Homo sapiens","166"
"DSA03229","Obesity","White adipose tissue","GEO","RNA-Seq","Homo sapiens","1000"
"DSA03230","Obesity","White adipose tissue","GEO","RNA-Seq","Homo sapiens","1000"
"DSA03282","Type 1 Diabetes","Peripheral blood","GEO","Microarray","Homo sapiens","359"
"DSA03283","Type 1 Diabetes","Peripheral blood","GEO","Microarray","Homo sapiens","24"
"DSA03284","Kufs Disease","Peripheral blood","GEO","Microarray","Homo sapiens","1000"
"DSA03299","Friedreich Ataxia","Peripheral blood","GEO","Microarray","Homo sapiens","1000"
"DSA03300","Friedreich Ataxia","Peripheral blood","GEO","Microarray","Homo sapiens","1000"
"DSA03309","Congenital Lipoid Adrenal Hyperplasia","Kidney","GEO","Microarray","Mus musculus","537"
"DSA03360","Obesity","CD14+ monocytes","GEO","Microarray","Homo sapiens","1000"
"DSA03373","Amyotrophic Lateral Sclerosis","Skeletal muscle","GEO","Microarray","Homo sapiens","1000"
"DSA03386","Amyotrophic Lateral Sclerosis","Skeletal muscle","GEO","Microarray","Homo sapiens","884"
"DSA03417","Coenzyme Q10 Deficiency","Fibroblasts","GEO","Microarray","Homo sapiens","1000"
"DSA03418","Coenzyme Q10 Deficiency","Fibroblasts","GEO","Microarray","Homo sapiens","713"
"DSA03419","Coenzyme Q10 Deficiency","Fibroblasts","GEO","Microarray","Homo sapiens","1000"
"DSA03424","Amyotrophic Lateral Sclerosis","Fibroblasts","GEO","Microarray","Homo sapiens","0"
"DSA03425","Amyotrophic Lateral Sclerosis","Fibroblasts","GEO","Microarray","Homo sapiens","5"
"DSA03426","Amyotrophic Lateral Sclerosis","Fibroblasts","GEO","Microarray","Homo sapiens","0"
"DSA03428","Coenzyme Q10 Deficiency","Fibroblast","GEO","Microarray","Homo sapiens","1000"
"DSA03429","Coenzyme Q10 Deficiency","Fibroblast","GEO","Microarray","Homo sapiens","1000"
"DSA03503","Type 1 Diabetes","Plasma","GEO","Microarray","Homo sapiens","220"
"DSA03504","Type 1 Diabetes","Plasma","GEO","Microarray","Homo sapiens","684"
"DSA03505","Type 1 Diabetes","Plasma","GEO","Microarray","Homo sapiens","1000"
"DSA03517","Osteoporosis","Bone marrow","GEO","Microarray","Homo sapiens","1"
"DSA03527","Polycystic Lipomembranous Osteodysplasia With Sclerosing Leukoencephalopathy 1","Monocyte","GEO","Microarray","Homo sapiens","4"
"DSA03577","Type 1 Diabetes","Spleen","GEO","Microarray","Mus musculus","48"
"DSA03578","Type 1 Diabetes","Spleen","GEO","Microarray","Mus musculus","63"
"DSA03579","Type 1 Diabetes","Spleen","GEO","Microarray","Mus musculus","36"
"DSA03580","Type 1 Diabetes","Spleen","GEO","Microarray","Mus musculus","32"
"DSA03644","Type 2 Diabetes","Endothelial cells","GEO","Microarray","Homo sapiens","0"
"DSA03656","Hutchinson-Gilford Progeria Syndrome","Null","GEO","Microarray","Homo sapiens","850"
"DSA03657","Hutchinson-Gilford Progeria Syndrome","Null","GEO","Microarray","Homo sapiens","456"
"DSA03706","Amyotrophic Lateral Sclerosis","CD14+CD16- monocytes","GEO","Microarray","Homo sapiens","43"
"DSA03707","Amyotrophic Lateral Sclerosis","CD14+CD16- monocytes","GEO","Microarray","Homo sapiens","28"
"DSA03721","Type 1 Diabetes","Pancreas","GEO","Microarray","Mus musculus","1"
"DSA03726","Frontotemporal Dementia","IPSC-derived neuron","GEO","Microarray","Homo sapiens","904"
"DSA03727","Frontotemporal Dementia","IPSC-derived neuron","GEO","Microarray","Homo sapiens","543"
"DSA03734","Deficiency Disease","Blood","GEO","Microarray","Homo sapiens","58"
"DSA03786","Gestational Diabetes","Plasma","GEO","RNA-Seq","Homo sapiens","3"
"DSA03789","Gestational Diabetes","Plasma","GEO","RNA-Seq","Homo sapiens","0"
"DSA03792","Gestational Diabetes","Plasma","GEO","RNA-Seq","Homo sapiens","11"
"DSA03795","Gestational Diabetes","Plasma","GEO","RNA-Seq","Homo sapiens","181"
"DSA03798","Gestational Diabetes","Plasma","GEO","RNA-Seq","Homo sapiens","31"
